id,value,category,amount
372,716,cat_2,716
373,915,cat_3,915
374,345,cat_4,345
375,538,cat_0,538
376,311,cat_1,311
377,907,cat_2,907
378,672,cat_3,672
379,61,cat_4,61
380,335,cat_0,335
381,695,cat_1,695
382,323,cat_2,323
383,324,cat_3,324
384,544,cat_4,544
385,73,cat_0,73
386,594,cat_1,594
387,83,cat_2,83
388,910,cat_3,910
389,503,cat_4,503
390,696,cat_0,696
391,378,cat_1,378
392,677,cat_2,677
393,147,cat_3,147
394,279,cat_4,279
395,692,cat_0,692
396,704,cat_1,704
397,846,cat_2,846
398,889,cat_3,889
399,825,cat_4,825
400,359,cat_0,359
401,403,cat_1,403
402,291,cat_2,291
403,382,cat_3,382
404,988,cat_4,988
405,531,cat_0,531
406,260,cat_1,260
407,910,cat_2,910
408,814,cat_3,814
409,931,cat_4,931
410,721,cat_0,721
411,241,cat_1,241
412,293,cat_2,293
413,859,cat_3,859
414,662,cat_4,662
415,459,cat_0,459
416,944,cat_1,944
417,161,cat_2,161
418,755,cat_3,755
419,538,cat_4,538
420,976,cat_0,976
421,243,cat_1,243
422,655,cat_2,655
423,92,cat_3,92
424,528,cat_4,528
425,218,cat_0,218
426,55,cat_1,55
427,127,cat_2,127
428,216,cat_3,216
429,264,cat_4,264
430,615,cat_0,615
431,217,cat_1,217
432,2,cat_2,2
433,735,cat_3,735
434,32,cat_4,32
435,544,cat_0,544
436,273,cat_1,273
437,393,cat_2,393
438,841,cat_3,841
439,558,cat_4,558
440,284,cat_0,284
441,360,cat_1,360
442,747,cat_2,747
443,551,cat_3,551
444,198,cat_4,198
445,105,cat_0,105
446,63,cat_1,63
447,985,cat_2,985
448,515,cat_3,515
449,378,cat_4,378
450,375,cat_0,375
451,775,cat_1,775
452,413,cat_2,413
453,298,cat_3,298
454,605,cat_4,605
455,985,cat_0,985
456,550,cat_1,550
457,570,cat_2,570
458,634,cat_3,634
459,955,cat_4,955
460,774,cat_0,774
461,230,cat_1,230
462,516,cat_2,516
463,132,cat_3,132
464,550,cat_4,550
465,475,cat_0,475
466,74,cat_1,74
467,370,cat_2,370
468,688,cat_3,688
469,357,cat_4,357
470,464,cat_0,464
471,158,cat_1,158
472,883,cat_2,883
473,872,cat_3,872
474,101,cat_4,101
475,937,cat_0,937
476,731,cat_1,731
477,432,cat_2,432
478,233,cat_3,233
479,502,cat_4,502
480,378,cat_0,378
481,824,cat_1,824
482,1000,cat_2,1000
483,613,cat_3,613
484,586,cat_4,586
485,892,cat_0,892
486,406,cat_1,406
487,343,cat_2,343
488,230,cat_3,230
489,10,cat_4,10
490,580,cat_0,580
491,823,cat_1,823
492,309,cat_2,309
493,903,cat_3,903
494,508,cat_4,508
495,381,cat_0,381
496,984,cat_1,984
497,923,cat_2,923
498,288,cat_3,288
499,937,cat_4,937
500,187,cat_0,187
501,496,cat_1,496
502,251,cat_2,251
503,118,cat_3,118
504,681,cat_4,681
505,82,cat_0,82
506,746,cat_1,746
507,576,cat_2,576
508,48,cat_3,48
509,311,cat_4,311
510,506,cat_0,506
511,498,cat_1,498
512,700,cat_2,700
513,396,cat_3,396
514,183,cat_4,183
515,209,cat_0,209
516,594,cat_1,594
517,444,cat_2,444
518,962,cat_3,962
519,657,cat_4,657
520,668,cat_0,668
521,138,cat_1,138
522,237,cat_2,237
523,632,cat_3,632
524,448,cat_4,448
525,6,cat_0,6
526,976,cat_1,976
527,228,cat_2,228
528,37,cat_3,37
529,22,cat_4,22
530,894,cat_0,894
531,376,cat_1,376
532,266,cat_2,266
533,312,cat_3,312
534,541,cat_4,541
535,570,cat_0,570
536,714,cat_1,714
537,247,cat_2,247
538,995,cat_3,995
539,536,cat_4,536
540,687,cat_0,687
541,926,cat_1,926
542,919,cat_2,919
543,665,cat_3,665
544,692,cat_4,692
545,532,cat_0,532
546,774,cat_1,774
547,953,cat_2,953
548,737,cat_3,737
549,966,cat_4,966
550,30,cat_0,30
551,527,cat_1,527
552,176,cat_2,176
553,857,cat_3,857
554,758,cat_4,758
555,420,cat_0,420
556,22,cat_1,22
557,726,cat_2,726
558,389,cat_3,389
559,587,cat_4,587
560,874,cat_0,874
561,268,cat_1,268
562,49,cat_2,49
563,92,cat_3,92
564,868,cat_4,868
565,523,cat_0,523
566,102,cat_1,102
567,357,cat_2,357
568,681,cat_3,681
569,237,cat_4,237
570,725,cat_0,725
571,875,cat_1,875
572,733,cat_2,733
573,841,cat_3,841
574,190,cat_4,190
575,770,cat_0,770
576,431,cat_1,431
577,971,cat_2,971
578,660,cat_3,660
579,623,cat_4,623
580,300,cat_0,300
581,771,cat_1,771
582,919,cat_2,919
583,794,cat_3,794
584,706,cat_4,706
585,203,cat_0,203
586,873,cat_1,873
587,312,cat_2,312
588,674,cat_3,674
589,953,cat_4,953
590,550,cat_0,550
591,186,cat_1,186
592,452,cat_2,452
593,589,cat_3,589
594,224,cat_4,224
595,483,cat_0,483
596,237,cat_1,237
597,692,cat_2,692
598,941,cat_3,941
599,100,cat_4,100
600,463,cat_0,463
601,785,cat_1,785
602,737,cat_2,737
603,668,cat_3,668
604,763,cat_4,763
605,987,cat_0,987
606,112,cat_1,112
607,162,cat_2,162
608,758,cat_3,758
609,9,cat_4,9
610,760,cat_0,760
611,528,cat_1,528
612,997,cat_2,997
613,77,cat_3,77
614,721,cat_4,721
615,780,cat_0,780
616,309,cat_1,309
617,322,cat_2,322
618,640,cat_3,640
619,969,cat_4,969
620,172,cat_0,172
621,9,cat_1,9
622,389,cat_2,389
623,494,cat_3,494
624,457,cat_4,457
625,482,cat_0,482
626,468,cat_1,468
627,529,cat_2,529
628,91,cat_3,91
629,753,cat_4,753
630,203,cat_0,203
631,501,cat_1,501
632,134,cat_2,134
633,765,cat_3,765
634,907,cat_4,907
635,586,cat_0,586
636,979,cat_1,979
637,452,cat_2,452
638,659,cat_3,659
639,632,cat_4,632
640,627,cat_0,627
641,384,cat_1,384
642,279,cat_2,279
643,656,cat_3,656
644,655,cat_4,655
645,717,cat_0,717
646,744,cat_1,744
647,694,cat_2,694
648,825,cat_3,825
649,534,cat_4,534
650,435,cat_0,435
651,599,cat_1,599
652,154,cat_2,154
653,466,cat_3,466
654,285,cat_4,285
655,538,cat_0,538
656,700,cat_1,700
657,446,cat_2,446
658,880,cat_3,880
659,864,cat_4,864
660,752,cat_0,752
661,114,cat_1,114
662,923,cat_2,923
663,335,cat_3,335
664,890,cat_4,890
665,983,cat_0,983
666,634,cat_1,634
667,733,cat_2,733
668,367,cat_3,367
669,580,cat_4,580
670,317,cat_0,317
671,792,cat_1,792
672,732,cat_2,732
673,58,cat_3,58
674,768,cat_4,768
675,55,cat_0,55
676,198,cat_1,198
677,147,cat_2,147
678,20,cat_3,20
679,435,cat_4,435
680,101,cat_0,101
681,971,cat_1,971
682,873,cat_2,873
683,3,cat_3,3
684,116,cat_4,116
685,94,cat_0,94
686,806,cat_1,806
687,278,cat_2,278
688,98,cat_3,98
689,612,cat_4,612
690,738,cat_0,738
691,178,cat_1,178
692,803,cat_2,803
693,227,cat_3,227
694,215,cat_4,215
695,585,cat_0,585
696,720,cat_1,720
697,633,cat_2,633
698,858,cat_3,858
699,942,cat_4,942
700,889,cat_0,889
701,891,cat_1,891
702,598,cat_2,598
703,163,cat_3,163
704,110,cat_4,110
705,581,cat_0,581
706,586,cat_1,586
707,12,cat_2,12
708,10,cat_3,10
709,531,cat_4,531
710,958,cat_0,958
711,148,cat_1,148
712,707,cat_2,707
713,649,cat_3,649
714,564,cat_4,564
715,757,cat_0,757
716,160,cat_1,160
717,237,cat_2,237
718,983,cat_3,983
719,705,cat_4,705
720,127,cat_0,127
721,294,cat_1,294
722,258,cat_2,258
723,632,cat_3,632
724,697,cat_4,697
725,968,cat_0,968
726,151,cat_1,151
727,749,cat_2,749
728,156,cat_3,156
729,889,cat_4,889
730,175,cat_0,175
731,803,cat_1,803
732,331,cat_2,331
733,886,cat_3,886
734,292,cat_4,292
735,951,cat_0,951
736,931,cat_1,931
737,833,cat_2,833
738,352,cat_3,352
739,167,cat_4,167
740,466,cat_0,466
741,371,cat_1,371
742,193,cat_2,193
743,634,cat_3,634
744,655,cat_4,655
745,97,cat_0,97
746,549,cat_1,549
747,132,cat_2,132
748,939,cat_3,939
749,345,cat_4,345
750,741,cat_0,741
751,67,cat_1,67
752,951,cat_2,951
753,783,cat_3,783
754,456,cat_4,456
755,551,cat_0,551
756,941,cat_1,941
757,300,cat_2,300
758,523,cat_3,523
759,70,cat_4,70
760,879,cat_0,879
761,344,cat_1,344
762,292,cat_2,292
763,631,cat_3,631
764,550,cat_4,550
765,709,cat_0,709
766,197,cat_1,197
767,935,cat_2,935
768,782,cat_3,782
769,760,cat_4,760
770,271,cat_0,271
771,31,cat_1,31
772,520,cat_2,520
773,591,cat_3,591
774,614,cat_4,614
775,706,cat_0,706
776,216,cat_1,216
777,104,cat_2,104
778,572,cat_3,572
779,448,cat_4,448
780,635,cat_0,635
781,278,cat_1,278
782,463,cat_2,463
783,544,cat_3,544
784,696,cat_4,696
785,954,cat_0,954
786,120,cat_1,120
787,162,cat_2,162
788,704,cat_3,704
789,971,cat_4,971
790,171,cat_0,171
791,197,cat_1,197
792,925,cat_2,925
793,298,cat_3,298
794,434,cat_4,434
795,898,cat_0,898
796,579,cat_1,579
797,977,cat_2,977
798,464,cat_3,464
799,644,cat_4,644
800,890,cat_0,890
801,34,cat_1,34
802,491,cat_2,491
803,712,cat_3,712
804,322,cat_4,322
805,131,cat_0,131
806,205,cat_1,205
807,861,cat_2,861
808,512,cat_3,512
809,164,cat_4,164
810,747,cat_0,747
811,661,cat_1,661
812,870,cat_2,870
813,316,cat_3,316
814,417,cat_4,417
815,646,cat_0,646
816,800,cat_1,800
817,331,cat_2,331
818,880,cat_3,880
819,840,cat_4,840
820,440,cat_0,440
821,241,cat_1,241
822,616,cat_2,616
823,314,cat_3,314
824,766,cat_4,766
825,153,cat_0,153
826,1000,cat_1,1000
827,508,cat_2,508
828,780,cat_3,780
829,549,cat_4,549
830,612,cat_0,612
831,941,cat_1,941
832,239,cat_2,239
833,380,cat_3,380
834,172,cat_4,172
835,465,cat_0,465
836,86,cat_1,86
837,719,cat_2,719
838,587,cat_3,587
839,381,cat_4,381
840,369,cat_0,369
841,725,cat_1,725
842,710,cat_2,710
843,980,cat_3,980
844,24,cat_4,24
845,335,cat_0,335
846,855,cat_1,855
847,188,cat_2,188
848,191,cat_3,191
849,142,cat_4,142
850,604,cat_0,604
851,166,cat_1,166
852,763,cat_2,763
853,574,cat_3,574
854,577,cat_4,577
855,414,cat_0,414
856,302,cat_1,302
857,354,cat_2,354
858,212,cat_3,212
859,703,cat_4,703
860,769,cat_0,769
861,477,cat_1,477
862,104,cat_2,104
863,284,cat_3,284
864,431,cat_4,431
865,979,cat_0,979
866,686,cat_1,686
867,41,cat_2,41
868,520,cat_3,520
869,649,cat_4,649
870,702,cat_0,702
871,85,cat_1,85
872,45,cat_2,45
873,30,cat_3,30
874,548,cat_4,548
875,25,cat_0,25
876,733,cat_1,733
877,694,cat_2,694
878,315,cat_3,315
879,28,cat_4,28
880,647,cat_0,647
881,830,cat_1,830
882,375,cat_2,375
883,376,cat_3,376
884,576,cat_4,576
885,188,cat_0,188
886,369,cat_1,369
887,286,cat_2,286
888,845,cat_3,845
889,974,cat_4,974
890,878,cat_0,878
891,884,cat_1,884
892,922,cat_2,922
893,613,cat_3,613
894,798,cat_4,798
895,605,cat_0,605
896,618,cat_1,618
897,612,cat_2,612
898,682,cat_3,682
899,938,cat_4,938
900,584,cat_0,584
901,891,cat_1,891
902,269,cat_2,269
903,342,cat_3,342
904,604,cat_4,604
905,551,cat_0,551
906,573,cat_1,573
907,607,cat_2,607
908,43,cat_3,43
909,828,cat_4,828
910,153,cat_0,153
911,361,cat_1,361
912,919,cat_2,919
913,29,cat_3,29
914,31,cat_4,31
915,471,cat_0,471
916,791,cat_1,791
917,804,cat_2,804
918,988,cat_3,988
919,188,cat_4,188
920,770,cat_0,770
921,177,cat_1,177
922,210,cat_2,210
923,743,cat_3,743
924,247,cat_4,247
925,477,cat_0,477
926,666,cat_1,666
927,427,cat_2,427
928,20,cat_3,20
929,547,cat_4,547
930,42,cat_0,42
931,288,cat_1,288
932,609,cat_2,609
933,354,cat_3,354
934,808,cat_4,808
935,313,cat_0,313
936,476,cat_1,476
937,144,cat_2,144
938,796,cat_3,796
939,551,cat_4,551
940,476,cat_0,476
941,301,cat_1,301
942,306,cat_2,306
943,473,cat_3,473
944,81,cat_4,81
945,31,cat_0,31
946,499,cat_1,499
947,882,cat_2,882
948,90,cat_3,90
949,928,cat_4,928
950,808,cat_0,808
951,77,cat_1,77
952,241,cat_2,241
953,476,cat_3,476
954,22,cat_4,22
955,243,cat_0,243
956,314,cat_1,314
957,445,cat_2,445
958,390,cat_3,390
959,878,cat_4,878
960,302,cat_0,302
961,811,cat_1,811
962,707,cat_2,707
963,951,cat_3,951
964,374,cat_4,374
965,25,cat_0,25
966,585,cat_1,585
967,225,cat_2,225
968,509,cat_3,509
969,505,cat_4,505
970,623,cat_0,623
971,465,cat_1,465
972,608,cat_2,608
973,215,cat_3,215
974,914,cat_4,914
975,349,cat_0,349
976,115,cat_1,115
977,164,cat_2,164
978,524,cat_3,524
979,654,cat_4,654
980,320,cat_0,320
981,399,cat_1,399
982,418,cat_2,418
983,893,cat_3,893
984,810,cat_4,810
985,844,cat_0,844
986,593,cat_1,593
987,500,cat_2,500
988,64,cat_3,64
989,614,cat_4,614
990,473,cat_0,473
991,869,cat_1,869
992,998,cat_2,998
993,485,cat_3,485
994,847,cat_4,847
995,492,cat_0,492
996,743,cat_1,743
997,5,cat_2,5
998,31,cat_3,31
999,648,cat_4,648
1000,956,cat_0,956
1001,811,cat_1,811
1002,770,cat_2,770
1003,702,cat_3,702
1004,369,cat_4,369
1005,890,cat_0,890
1006,253,cat_1,253
1007,154,cat_2,154
1008,666,cat_3,666
1009,120,cat_4,120
1010,679,cat_0,679
1011,776,cat_1,776
1012,673,cat_2,673
1013,439,cat_3,439
1014,435,cat_4,435
1015,599,cat_0,599
1016,808,cat_1,808
1017,158,cat_2,158
1018,530,cat_3,530
1019,720,cat_4,720
1020,430,cat_0,430
1021,467,cat_1,467
1022,933,cat_2,933
1023,944,cat_3,944
1024,925,cat_4,925
1025,634,cat_0,634
1026,268,cat_1,268
1027,726,cat_2,726
1028,84,cat_3,84
1029,125,cat_4,125
1030,556,cat_0,556
1031,485,cat_1,485
1032,568,cat_2,568
1033,797,cat_3,797
1034,549,cat_4,549
1035,629,cat_0,629
1036,103,cat_1,103
1037,38,cat_2,38
1038,753,cat_3,753
1039,37,cat_4,37
1040,582,cat_0,582
1041,860,cat_1,860
1042,821,cat_2,821
1043,120,cat_3,120
1044,347,cat_4,347
1045,282,cat_0,282
1046,546,cat_1,546
1047,892,cat_2,892
1048,830,cat_3,830
1049,335,cat_4,335
1050,161,cat_0,161
1051,422,cat_1,422
1052,313,cat_2,313
1053,398,cat_3,398
1054,628,cat_4,628
1055,182,cat_0,182
1056,860,cat_1,860
1057,284,cat_2,284
1058,210,cat_3,210
1059,289,cat_4,289
1060,410,cat_0,410
1061,855,cat_1,855
1062,22,cat_2,22
1063,903,cat_3,903
1064,826,cat_4,826
1065,401,cat_0,401
1066,831,cat_1,831
1067,580,cat_2,580
1068,7,cat_3,7
1069,481,cat_4,481
1070,819,cat_0,819
1071,265,cat_1,265
1072,426,cat_2,426
1073,603,cat_3,603
1074,595,cat_4,595
1075,218,cat_0,218
1076,123,cat_1,123
1077,572,cat_2,572
1078,973,cat_3,973
1079,670,cat_4,670
1080,92,cat_0,92
1081,224,cat_1,224
1082,57,cat_2,57
1083,236,cat_3,236
1084,927,cat_4,927
1085,532,cat_0,532
1086,136,cat_1,136
1087,565,cat_2,565
1088,998,cat_3,998
1089,364,cat_4,364
1090,99,cat_0,99
1091,284,cat_1,284
1092,140,cat_2,140
1093,613,cat_3,613
1094,995,cat_4,995
1095,326,cat_0,326
1096,646,cat_1,646
1097,856,cat_2,856
1098,341,cat_3,341
1099,218,cat_4,218
1100,151,cat_0,151
1101,207,cat_1,207
1102,134,cat_2,134
1103,753,cat_3,753
1104,53,cat_4,53
1105,787,cat_0,787
1106,828,cat_1,828
1107,963,cat_2,963
1108,627,cat_3,627
1109,50,cat_4,50
1110,938,cat_0,938
1111,416,cat_1,416
1112,178,cat_2,178
1113,702,cat_3,702
1114,622,cat_4,622
1115,335,cat_0,335
1116,767,cat_1,767
1117,989,cat_2,989
1118,327,cat_3,327
1119,738,cat_4,738
1120,800,cat_0,800
1121,609,cat_1,609
1122,366,cat_2,366
1123,970,cat_3,970
1124,165,cat_4,165
1125,624,cat_0,624
1126,523,cat_1,523
1127,52,cat_2,52
1128,26,cat_3,26
1129,568,cat_4,568
1130,267,cat_0,267
1131,191,cat_1,191
1132,356,cat_2,356
1133,652,cat_3,652
1134,570,cat_4,570
1135,186,cat_0,186
1136,635,cat_1,635
1137,108,cat_2,108
1138,138,cat_3,138
1139,770,cat_4,770
1140,883,cat_0,883
1141,885,cat_1,885
1142,895,cat_2,895
1143,848,cat_3,848
1144,500,cat_4,500
1145,514,cat_0,514
1146,943,cat_1,943
1147,878,cat_2,878
1148,662,cat_3,662
1149,426,cat_4,426
1150,121,cat_0,121
1151,380,cat_1,380
1152,593,cat_2,593
1153,638,cat_3,638
1154,565,cat_4,565
1155,870,cat_0,870
1156,381,cat_1,381
1157,844,cat_2,844
1158,798,cat_3,798
1159,972,cat_4,972
1160,593,cat_0,593
1161,865,cat_1,865
1162,253,cat_2,253
1163,521,cat_3,521
1164,77,cat_4,77
1165,632,cat_0,632
1166,68,cat_1,68
1167,658,cat_2,658
1168,36,cat_3,36
1169,715,cat_4,715
1170,864,cat_0,864
1171,533,cat_1,533
1172,674,cat_2,674
1173,29,cat_3,29
1174,794,cat_4,794
1175,780,cat_0,780
1176,732,cat_1,732
1177,344,cat_2,344
1178,825,cat_3,825
1179,192,cat_4,192
1180,710,cat_0,710
1181,410,cat_1,410
1182,365,cat_2,365
1183,30,cat_3,30
1184,652,cat_4,652
1185,745,cat_0,745
1186,706,cat_1,706
1187,117,cat_2,117
1188,951,cat_3,951
1189,423,cat_4,423
1190,215,cat_0,215
1191,212,cat_1,212
1192,96,cat_2,96
1193,686,cat_3,686
1194,502,cat_4,502
1195,986,cat_0,986
1196,234,cat_1,234
1197,392,cat_2,392
1198,212,cat_3,212
1199,973,cat_4,973
1200,41,cat_0,41
1201,152,cat_1,152
1202,538,cat_2,538
1203,350,cat_3,350
1204,242,cat_4,242
1205,702,cat_0,702
1206,466,cat_1,466
1207,514,cat_2,514
1208,236,cat_3,236
1209,94,cat_4,94
1210,389,cat_0,389
1211,101,cat_1,101
1212,88,cat_2,88
1213,310,cat_3,310
1214,118,cat_4,118
1215,304,cat_0,304
1216,590,cat_1,590
1217,449,cat_2,449
1218,405,cat_3,405
1219,967,cat_4,967
1220,536,cat_0,536
1221,606,cat_1,606
1222,818,cat_2,818
1223,716,cat_3,716
1224,406,cat_4,406
1225,537,cat_0,537
1226,170,cat_1,170
1227,385,cat_2,385
1228,773,cat_3,773
1229,647,cat_4,647
1230,472,cat_0,472
1231,550,cat_1,550
1232,135,cat_2,135
1233,496,cat_3,496
1234,562,cat_4,562
1235,176,cat_0,176
1236,780,cat_1,780
1237,869,cat_2,869
1238,279,cat_3,279
1239,444,cat_4,444
1240,874,cat_0,874
1241,616,cat_1,616
1242,594,cat_2,594
1243,928,cat_3,928
1244,783,cat_4,783
1245,123,cat_0,123
1246,898,cat_1,898
1247,807,cat_2,807
1248,722,cat_3,722
