trade_id,source,trade_date,trade_time,symbol,isin,cusip,side,quantity,price,amount,currency,counterparty,trader,book,strategy,venue,settlement_date,status,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6
TRD00000015,Barclays,2025-08-10,09:44:39,TSLA,US278323987,130042966,BUY,143000,306.49,3215951.46,EUR,FUND_X,TRADER_6,BOOK_3,STRAT_2,NASDAQ,2025-09-03,PENDING,VAL_3008,VAL_2874,VAL_9653,VAL_5939,VAL_4652,VAL_6407
TRD00000016,Reuters,2025-08-11,16:00:57,AMD,US486627745,552484163,SELL,449000,445.33,562401.15,EUR,BANK_A,TRADER_16,BOOK_9,STRAT_5,LSE,2025-09-03,PENDING,VAL_3280,VAL_9899,VAL_2278,VAL_1695,VAL_3537,VAL_9626
TRD00000017,JPMorgan,2025-08-24,15:10:44,GOOGL,US439739588,357751285,SELL,838500,472.59,2652556.95,USD,BANK_A,TRADER_10,BOOK_2,STRAT_4,EUREX,2025-09-03,CONFIRMED,VAL_6975,VAL_4424,VAL_6031,VAL_6800,VAL_3508,VAL_3556
TRD00000018,Reuters,2025-08-26,11:59:33,AAPL,US380042345,338013455,SELL,214800,470.3,507490.85,JPY,FUND_X,TRADER_19,BOOK_1,STRAT_3,NYSE,2025-09-03,CONFIRMED,VAL_3359,VAL_7450,VAL_5479,VAL_1965,VAL_5916,VAL_6850
TRD00000019,Reuters,2025-08-16,16:42:08,AAPL,US854306074,738820977,BUY,157900,331.56,4947623.23,USD,BANK_A,TRADER_2,BOOK_1,STRAT_4,NYSE,2025-09-03,ALLOCATED,VAL_7055,VAL_8868,VAL_7748,VAL_3270,VAL_4248,VAL_4176
TRD00000020,Reuters,2025-08-27,12:59:35,AAPL,US825313719,740216980,BUY,863500,283.26,1821806.94,EUR,BANK_B,TRADER_8,BOOK_9,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_6093,VAL_7412,VAL_4302,VAL_1447,VAL_9025,VAL_2743
TRD00000021,Reuters,2025-08-27,10:06:43,TSLA,US799344927,962070255,SELL,87900,25.07,4914800.53,EUR,BANK_A,TRADER_13,BOOK_10,STRAT_4,NASDAQ,2025-09-03,CONFIRMED,VAL_7697,VAL_8401,VAL_1475,VAL_1476,VAL_9590,VAL_7196
TRD00000022,Barclays,2025-08-15,11:07:58,AMZN,US488634340,392345194,SELL,86600,189.27,3428804.87,JPY,FUND_X,TRADER_10,BOOK_8,STRAT_4,EUREX,2025-09-03,CONFIRMED,VAL_5177,VAL_3720,VAL_8122,VAL_3784,VAL_2221,VAL_5296
TRD00000023,Barclays,2025-08-04,09:32:00,AAPL,US575766784,136232025,SELL,193800,462.51,4646439.24,JPY,BANK_A,TRADER_13,BOOK_3,STRAT_5,NYSE,2025-09-03,PENDING,VAL_5194,VAL_8746,VAL_8797,VAL_2872,VAL_5577,VAL_2616
TRD00000024,Bloomberg,2025-08-16,14:54:15,NVDA,US542693787,642571438,BUY,572400,444.81,1006297.96,USD,FUND_Y,TRADER_3,BOOK_10,STRAT_2,LSE,2025-09-03,PENDING,VAL_6989,VAL_5355,VAL_8368,VAL_8504,VAL_8315,VAL_3160
TRD00000025,Barclays,2025-08-11,12:49:38,MSFT,US867093016,481189072,BUY,897900,323.42,3964114.39,USD,BANK_B,TRADER_11,BOOK_7,STRAT_4,LSE,2025-09-03,SETTLED,VAL_2613,VAL_4117,VAL_3402,VAL_4337,VAL_5248,VAL_9854
TRD00000026,GoldmanSachs,2025-08-28,12:35:21,AMZN,US565383077,179665735,SELL,897400,23.76,4168997.55,CHF,FUND_Y,TRADER_13,BOOK_9,STRAT_1,LSE,2025-09-03,ALLOCATED,VAL_8451,VAL_9065,VAL_8747,VAL_4492,VAL_2504,VAL_7153
TRD00000027,JPMorgan,2025-08-21,11:06:04,AMD,US744804371,848438060,SELL,483600,20.56,3294285.22,USD,BANK_A,TRADER_2,BOOK_3,STRAT_4,NYSE,2025-09-03,SETTLED,VAL_9702,VAL_6835,VAL_2536,VAL_4767,VAL_1096,VAL_2142
TRD00000028,Bloomberg,2025-08-05,11:05:49,AMZN,US832972202,397011058,BUY,968600,136.62,3020078.98,EUR,FUND_X,TRADER_9,BOOK_7,STRAT_5,NYSE,2025-09-03,CONFIRMED,VAL_8350,VAL_8238,VAL_8764,VAL_8532,VAL_2095,VAL_6585
TRD00000029,GoldmanSachs,2025-08-30,11:41:00,NVDA,US320393484,842020098,BUY,171600,317.66,139353.35,JPY,BANK_B,TRADER_12,BOOK_6,STRAT_3,NYSE,2025-09-03,ALLOCATED,VAL_4093,VAL_9562,VAL_4346,VAL_6071,VAL_5100,VAL_1913
TRD00000030,JPMorgan,2025-08-22,12:44:42,AMZN,US696856455,223728576,BUY,19000,26.39,1419622.45,JPY,BANK_B,TRADER_12,BOOK_8,STRAT_3,NYSE,2025-09-03,SETTLED,VAL_9833,VAL_7370,VAL_3284,VAL_2624,VAL_4631,VAL_8859
TRD00000031,JPMorgan,2025-08-20,09:32:11,AAPL,US854969397,359540651,BUY,65800,281.18,414735.59,EUR,BANK_A,TRADER_15,BOOK_1,STRAT_3,EUREX,2025-09-03,SETTLED,VAL_3485,VAL_3902,VAL_8188,VAL_7799,VAL_4853,VAL_1985
TRD00000032,JPMorgan,2025-08-30,16:03:16,IBM,US881082836,281142178,BUY,395500,97.57,3699050.14,CHF,BANK_B,TRADER_5,BOOK_4,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_8583,VAL_4212,VAL_7734,VAL_7658,VAL_6215,VAL_5106
TRD00000033,Barclays,2025-08-03,14:21:47,TSLA,US826489677,342029159,BUY,754400,213.51,576637.77,JPY,HEDGE_Z,TRADER_17,BOOK_6,STRAT_1,NYSE,2025-09-03,PENDING,VAL_2298,VAL_7039,VAL_8707,VAL_3219,VAL_5320,VAL_7053
TRD00000034,GoldmanSachs,2025-08-13,15:02:49,IBM,US115902609,423433357,SELL,505500,21.48,1180355.92,EUR,FUND_Y,TRADER_1,BOOK_10,STRAT_3,NASDAQ,2025-09-03,SETTLED,VAL_4116,VAL_1236,VAL_3088,VAL_6724,VAL_7576,VAL_3364
TRD00000035,Bloomberg,2025-08-18,14:05:41,AMD,US193125173,642385242,BUY,709500,32.67,1425903.59,GBP,BANK_A,TRADER_9,BOOK_1,STRAT_5,LSE,2025-09-03,SETTLED,VAL_3592,VAL_6224,VAL_6610,VAL_6197,VAL_5268,VAL_3084
TRD00000036,Reuters,2025-08-16,10:14:58,AAPL,US691646336,552555874,SELL,10400,320.61,4193922.88,GBP,FUND_X,TRADER_2,BOOK_9,STRAT_5,NYSE,2025-09-03,SETTLED,VAL_3567,VAL_7036,VAL_9264,VAL_4828,VAL_9548,VAL_6652
TRD00000037,Bloomberg,2025-08-16,13:57:14,NVDA,US440874894,767131290,SELL,811800,182.51,3641552.02,CHF,FUND_X,TRADER_14,BOOK_7,STRAT_5,NYSE,2025-09-03,ALLOCATED,VAL_7127,VAL_9843,VAL_7065,VAL_1782,VAL_5651,VAL_9461
TRD00000038,JPMorgan,2025-08-08,10:15:21,MSFT,US267275349,142276614,SELL,487300,86.22,529016.88,CHF,FUND_Y,TRADER_8,BOOK_3,STRAT_5,LSE,2025-09-03,SETTLED,VAL_9090,VAL_5201,VAL_1947,VAL_1430,VAL_1917,VAL_6072
TRD00000039,GoldmanSachs,2025-08-28,14:35:10,AAPL,US955142096,221095892,BUY,785000,255.01,2630530.56,GBP,BANK_B,TRADER_20,BOOK_7,STRAT_1,NASDAQ,2025-09-03,SETTLED,VAL_5669,VAL_6007,VAL_2047,VAL_1853,VAL_7056,VAL_4375
TRD00000040,GoldmanSachs,2025-08-21,16:50:15,AMZN,US225442928,521248446,BUY,716100,252.73,2376158.14,EUR,FUND_X,TRADER_1,BOOK_3,STRAT_5,EUREX,2025-09-03,CONFIRMED,VAL_3999,VAL_2157,VAL_7267,VAL_8793,VAL_6848,VAL_9422
TRD00000041,Reuters,2025-08-09,16:28:58,NVDA,US549393410,808098846,BUY,17400,169.73,1865011.31,EUR,BANK_A,TRADER_10,BOOK_1,STRAT_2,LSE,2025-09-03,ALLOCATED,VAL_7690,VAL_4046,VAL_7489,VAL_4628,VAL_5958,VAL_9878
TRD00000042,JPMorgan,2025-08-23,15:51:50,TSLA,US523387072,782045463,BUY,356500,440.98,4481144.45,USD,HEDGE_Z,TRADER_19,BOOK_3,STRAT_2,NASDAQ,2025-09-03,ALLOCATED,VAL_8423,VAL_1386,VAL_5283,VAL_3639,VAL_3976,VAL_3966
TRD00000043,Bloomberg,2025-08-07,11:47:18,AMD,US785680410,638838136,BUY,899400,20.77,424437.74,CHF,BANK_A,TRADER_17,BOOK_8,STRAT_2,LSE,2025-09-03,ALLOCATED,VAL_5574,VAL_7257,VAL_5904,VAL_6030,VAL_9986,VAL_5614
TRD00000044,JPMorgan,2025-08-05,11:05:52,MSFT,US540307683,166790936,SELL,821600,190.8,541150.14,JPY,BANK_A,TRADER_3,BOOK_2,STRAT_1,NYSE,2025-09-03,PENDING,VAL_6530,VAL_9412,VAL_2466,VAL_3818,VAL_9924,VAL_8810
TRD00000045,Barclays,2025-08-11,13:35:03,TSLA,US128903673,921220270,SELL,226800,277.59,3758231.78,USD,BANK_A,TRADER_10,BOOK_4,STRAT_3,LSE,2025-09-03,CONFIRMED,VAL_3468,VAL_2760,VAL_4873,VAL_4135,VAL_9661,VAL_5793
TRD00000046,JPMorgan,2025-08-31,09:10:29,NVDA,US981065928,807934047,BUY,146800,337.1,1060631.39,CHF,BANK_B,TRADER_11,BOOK_10,STRAT_4,LSE,2025-09-03,ALLOCATED,VAL_5365,VAL_9523,VAL_6272,VAL_3594,VAL_5107,VAL_8130
TRD00000047,Barclays,2025-08-27,13:24:21,TSLA,US767842671,872365927,BUY,437300,30.07,4897099.67,GBP,FUND_X,TRADER_20,BOOK_3,STRAT_3,EUREX,2025-09-03,SETTLED,VAL_6196,VAL_9903,VAL_9781,VAL_8106,VAL_6651,VAL_7323
TRD00000048,JPMorgan,2025-08-11,13:05:04,GOOGL,US773008919,416583415,BUY,437200,134.23,1550613.86,GBP,FUND_Y,TRADER_18,BOOK_6,STRAT_4,NASDAQ,2025-09-03,PENDING,VAL_8906,VAL_1422,VAL_3899,VAL_4053,VAL_2504,VAL_1217
TRD00000049,Reuters,2025-08-20,12:15:12,AMD,US994677299,313707560,BUY,145900,248.2,4131428.17,USD,HEDGE_Z,TRADER_7,BOOK_9,STRAT_1,EUREX,2025-09-03,CONFIRMED,VAL_9654,VAL_3679,VAL_6739,VAL_7799,VAL_9036,VAL_4798
TRD00000050,Bloomberg,2025-08-27,09:52:15,IBM,US284357587,651425187,SELL,987300,194.59,2609236.43,JPY,BANK_A,TRADER_6,BOOK_2,STRAT_2,NASDAQ,2025-09-03,PENDING,VAL_3834,VAL_8768,VAL_2318,VAL_4587,VAL_6954,VAL_8136
TRD00000051,Barclays,2025-08-05,12:41:29,GOOGL,US910670115,411584953,SELL,920500,149.12,927595.71,JPY,FUND_Y,TRADER_13,BOOK_3,STRAT_5,NYSE,2025-09-03,ALLOCATED,VAL_2976,VAL_9868,VAL_8661,VAL_9059,VAL_5826,VAL_5106
TRD00000052,Reuters,2025-08-08,10:47:53,TSLA,US416514515,732244801,SELL,585100,285.59,2460896.86,JPY,FUND_Y,TRADER_18,BOOK_3,STRAT_4,NASDAQ,2025-09-03,ALLOCATED,VAL_3668,VAL_8183,VAL_3537,VAL_5623,VAL_4850,VAL_6610
TRD00000053,Barclays,2025-08-26,12:42:52,AAPL,US871485313,608641736,SELL,222800,43.12,2375736.44,EUR,HEDGE_Z,TRADER_19,BOOK_10,STRAT_5,NASDAQ,2025-09-03,SETTLED,VAL_5950,VAL_6057,VAL_6282,VAL_1297,VAL_8622,VAL_7618
TRD00000054,GoldmanSachs,2025-08-20,14:03:33,IBM,US365738357,157851358,SELL,195000,203.76,4790934.59,EUR,FUND_Y,TRADER_11,BOOK_9,STRAT_3,NYSE,2025-09-03,CONFIRMED,VAL_1345,VAL_3304,VAL_1697,VAL_1098,VAL_8756,VAL_5737
TRD00000055,Reuters,2025-08-21,11:08:46,NVDA,US877230240,966412590,SELL,523200,171.48,2263868.31,USD,FUND_X,TRADER_13,BOOK_4,STRAT_2,NYSE,2025-09-03,ALLOCATED,VAL_8653,VAL_7778,VAL_5986,VAL_5159,VAL_3229,VAL_2249
TRD00000056,Reuters,2025-08-05,14:54:01,MSFT,US619857763,930094015,SELL,494700,394.03,2113972.07,JPY,BANK_B,TRADER_10,BOOK_3,STRAT_2,LSE,2025-09-03,CONFIRMED,VAL_9723,VAL_6714,VAL_9892,VAL_7445,VAL_1130,VAL_8039
TRD00000057,Barclays,2025-08-18,12:32:00,AAPL,US501285582,255166603,BUY,859600,325.13,4523572.22,EUR,BANK_A,TRADER_2,BOOK_10,STRAT_3,EUREX,2025-09-03,PENDING,VAL_9164,VAL_9783,VAL_8554,VAL_8653,VAL_6059,VAL_8678
TRD00000058,GoldmanSachs,2025-08-02,10:13:30,AAPL,US865633370,272688389,SELL,824600,103.81,1734643.46,USD,BANK_A,TRADER_11,BOOK_8,STRAT_4,NASDAQ,2025-09-03,SETTLED,VAL_6009,VAL_6048,VAL_9087,VAL_5686,VAL_1150,VAL_9246
TRD00000059,JPMorgan,2025-08-06,14:17:25,AMD,US543997146,125633827,SELL,539500,29.67,2928134.42,CHF,BANK_A,TRADER_1,BOOK_5,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_8859,VAL_3095,VAL_9786,VAL_7665,VAL_6896,VAL_1877
TRD00000060,Barclays,2025-08-04,11:24:52,AAPL,US138890019,859025585,SELL,223100,38.4,1440032.44,EUR,FUND_Y,TRADER_10,BOOK_4,STRAT_4,NYSE,2025-09-03,CONFIRMED,VAL_1926,VAL_7188,VAL_5471,VAL_6795,VAL_4455,VAL_1807
TRD00000061,Barclays,2025-08-16,11:13:11,NVDA,US958625794,716640591,BUY,398400,493.54,1281017.4,USD,BANK_B,TRADER_16,BOOK_4,STRAT_5,EUREX,2025-09-03,SETTLED,VAL_8170,VAL_4673,VAL_9616,VAL_7756,VAL_7432,VAL_3482
TRD00000062,JPMorgan,2025-08-11,11:48:28,NVDA,US942452857,759346751,SELL,703700,30.4,1615903.67,JPY,BANK_A,TRADER_9,BOOK_1,STRAT_1,NYSE,2025-09-03,ALLOCATED,VAL_3256,VAL_9388,VAL_5917,VAL_8586,VAL_7227,VAL_7884
TRD00000063,Reuters,2025-08-05,12:10:40,NVDA,US237075277,311144611,BUY,363100,319.99,3076402.51,JPY,HEDGE_Z,TRADER_6,BOOK_6,STRAT_3,NASDAQ,2025-09-03,PENDING,VAL_7557,VAL_5665,VAL_7720,VAL_4276,VAL_1269,VAL_2322
TRD00000064,GoldmanSachs,2025-08-18,16:21:07,IBM,US993322502,541922291,BUY,120800,285.33,2521295.16,JPY,FUND_X,TRADER_1,BOOK_1,STRAT_5,EUREX,2025-09-03,SETTLED,VAL_9414,VAL_8225,VAL_8635,VAL_2993,VAL_4803,VAL_4677
TRD00000065,GoldmanSachs,2025-08-27,12:34:55,AAPL,US443628504,159137954,SELL,989500,291.87,3381043.9,JPY,HEDGE_Z,TRADER_19,BOOK_5,STRAT_5,LSE,2025-09-03,CONFIRMED,VAL_3644,VAL_7512,VAL_1737,VAL_6689,VAL_1952,VAL_9438
TRD00000066,Reuters,2025-08-08,13:31:17,MSFT,US628781866,505705197,SELL,185700,399.42,2368609.38,CHF,BANK_A,TRADER_9,BOOK_9,STRAT_5,EUREX,2025-09-03,CONFIRMED,VAL_4249,VAL_2774,VAL_8917,VAL_1749,VAL_9124,VAL_7224
TRD00000067,Reuters,2025-08-28,11:23:01,AMZN,US471455632,925726549,BUY,590600,158.0,523546.9,GBP,FUND_X,TRADER_6,BOOK_2,STRAT_2,NASDAQ,2025-09-03,PENDING,VAL_8780,VAL_5048,VAL_6440,VAL_4739,VAL_3397,VAL_4324
TRD00000068,Barclays,2025-08-05,16:58:38,MSFT,US501318362,526636425,BUY,737400,221.54,2714653.36,CHF,BANK_B,TRADER_16,BOOK_10,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_7283,VAL_4920,VAL_5634,VAL_1093,VAL_1175,VAL_2903
TRD00000069,GoldmanSachs,2025-08-16,13:21:13,MSFT,US484504059,607227456,SELL,388700,389.38,1555271.0,JPY,BANK_B,TRADER_13,BOOK_2,STRAT_2,LSE,2025-09-03,CONFIRMED,VAL_8842,VAL_6269,VAL_3261,VAL_4358,VAL_5639,VAL_9667
TRD00000070,Bloomberg,2025-08-05,15:01:39,IBM,US405765912,825228269,BUY,752400,353.31,1014791.38,CHF,BANK_B,TRADER_18,BOOK_2,STRAT_3,NYSE,2025-09-03,PENDING,VAL_8850,VAL_1880,VAL_6703,VAL_8521,VAL_4509,VAL_5923
TRD00000071,Bloomberg,2025-08-28,12:25:18,MSFT,US998512037,850050822,BUY,103300,277.89,3575402.13,EUR,BANK_A,TRADER_20,BOOK_6,STRAT_3,EUREX,2025-09-03,PENDING,VAL_1865,VAL_7126,VAL_3540,VAL_6082,VAL_9899,VAL_7096
TRD00000072,Bloomberg,2025-08-25,16:50:25,NVDA,US357402201,266562616,BUY,466100,277.31,4902793.15,USD,FUND_Y,TRADER_20,BOOK_10,STRAT_2,LSE,2025-09-03,PENDING,VAL_7044,VAL_5538,VAL_5545,VAL_4449,VAL_9625,VAL_3239
TRD00000073,Bloomberg,2025-08-05,15:39:08,IBM,US442008874,810652225,SELL,137800,21.37,1362858.17,USD,BANK_B,TRADER_8,BOOK_1,STRAT_2,NASDAQ,2025-09-03,SETTLED,VAL_4258,VAL_9336,VAL_9313,VAL_4584,VAL_6270,VAL_6216
TRD00000074,GoldmanSachs,2025-08-16,10:48:03,GOOGL,US468890060,266942697,BUY,583500,172.3,1746018.74,USD,FUND_X,TRADER_4,BOOK_9,STRAT_4,NASDAQ,2025-09-03,PENDING,VAL_8222,VAL_6585,VAL_4902,VAL_4036,VAL_4925,VAL_9154
TRD00000075,GoldmanSachs,2025-08-09,09:53:05,AMD,US446456379,717275954,SELL,950900,225.21,2063646.52,EUR,HEDGE_Z,TRADER_1,BOOK_6,STRAT_1,LSE,2025-09-03,ALLOCATED,VAL_1917,VAL_5709,VAL_5582,VAL_3703,VAL_1078,VAL_3201
TRD00000076,Bloomberg,2025-08-07,14:18:22,NVDA,US517953643,680528079,SELL,724900,207.4,4243662.65,EUR,FUND_X,TRADER_12,BOOK_7,STRAT_1,EUREX,2025-09-03,SETTLED,VAL_1109,VAL_7861,VAL_1171,VAL_6754,VAL_2882,VAL_3250
TRD00000077,Reuters,2025-08-15,14:32:28,GOOGL,US670386833,581253969,BUY,850000,208.14,169563.71,USD,FUND_X,TRADER_17,BOOK_6,STRAT_2,NYSE,2025-09-03,SETTLED,VAL_4001,VAL_7978,VAL_9608,VAL_3233,VAL_2833,VAL_4016
TRD00000078,Reuters,2025-08-26,16:37:34,IBM,US791715296,166941049,SELL,72500,276.81,2102735.16,JPY,HEDGE_Z,TRADER_10,BOOK_5,STRAT_3,LSE,2025-09-03,CONFIRMED,VAL_2648,VAL_5124,VAL_9809,VAL_4050,VAL_4362,VAL_3198
TRD00000079,Reuters,2025-08-29,12:11:24,AMD,US498245258,273555291,BUY,532500,103.53,292281.46,JPY,FUND_X,TRADER_18,BOOK_10,STRAT_1,EUREX,2025-09-03,PENDING,VAL_9591,VAL_6271,VAL_9237,VAL_8336,VAL_1177,VAL_3671
TRD00000080,Bloomberg,2025-08-06,12:31:13,AAPL,US562815357,363783846,SELL,197300,112.78,3507564.28,USD,BANK_B,TRADER_18,BOOK_1,STRAT_1,EUREX,2025-09-03,CONFIRMED,VAL_2811,VAL_4866,VAL_6636,VAL_6431,VAL_9983,VAL_1528
TRD00000081,GoldmanSachs,2025-08-08,16:35:43,IBM,US519333987,474379691,BUY,936100,379.14,2408605.59,GBP,BANK_A,TRADER_12,BOOK_8,STRAT_1,LSE,2025-09-03,ALLOCATED,VAL_1448,VAL_8870,VAL_6172,VAL_5711,VAL_8438,VAL_6844
TRD00000082,JPMorgan,2025-08-09,12:42:06,AMZN,US344937885,304960083,BUY,271300,106.0,391280.69,CHF,HEDGE_Z,TRADER_9,BOOK_2,STRAT_2,NYSE,2025-09-03,PENDING,VAL_3116,VAL_1224,VAL_2446,VAL_6998,VAL_1154,VAL_6609
TRD00000083,JPMorgan,2025-08-27,15:36:17,NVDA,US771368628,627857731,SELL,333800,45.18,894262.79,USD,FUND_X,TRADER_19,BOOK_3,STRAT_4,LSE,2025-09-03,ALLOCATED,VAL_7078,VAL_1514,VAL_7511,VAL_8557,VAL_2042,VAL_7263
TRD00000084,Barclays,2025-08-12,12:45:02,AAPL,US614442514,317982252,SELL,770800,323.32,1627696.45,GBP,FUND_X,TRADER_5,BOOK_8,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_2122,VAL_8462,VAL_4205,VAL_4258,VAL_2408,VAL_2701
TRD00000085,Reuters,2025-08-14,10:11:35,AMZN,US817414324,978436329,BUY,807600,435.85,354682.96,GBP,FUND_X,TRADER_5,BOOK_2,STRAT_1,NYSE,2025-09-03,SETTLED,VAL_6428,VAL_9135,VAL_7015,VAL_5196,VAL_9384,VAL_7820
TRD00000086,JPMorgan,2025-08-21,13:07:14,NVDA,US158806903,813617620,BUY,218200,30.24,2029744.12,JPY,FUND_Y,TRADER_1,BOOK_9,STRAT_5,LSE,2025-09-03,CONFIRMED,VAL_1145,VAL_2886,VAL_4148,VAL_1293,VAL_1760,VAL_1283
TRD00000087,JPMorgan,2025-08-12,10:16:22,AMZN,US629105390,408585123,BUY,411100,383.23,4885928.12,GBP,BANK_A,TRADER_10,BOOK_4,STRAT_5,NASDAQ,2025-09-03,SETTLED,VAL_1114,VAL_5259,VAL_4729,VAL_5719,VAL_5429,VAL_5625
TRD00000088,JPMorgan,2025-08-26,11:49:24,IBM,US948483866,642816336,BUY,890800,201.48,4225377.38,CHF,FUND_X,TRADER_15,BOOK_2,STRAT_5,EUREX,2025-09-03,ALLOCATED,VAL_9552,VAL_8172,VAL_7360,VAL_2999,VAL_2283,VAL_7908
TRD00000089,JPMorgan,2025-08-24,15:50:32,NVDA,US380452627,938136225,SELL,666200,468.21,2798387.74,EUR,FUND_X,TRADER_8,BOOK_6,STRAT_5,NASDAQ,2025-09-03,SETTLED,VAL_6733,VAL_7079,VAL_5664,VAL_8377,VAL_7820,VAL_1512
TRD00000090,Bloomberg,2025-08-12,16:45:36,AMD,US287618086,969392484,BUY,841500,189.05,3660043.49,JPY,HEDGE_Z,TRADER_11,BOOK_10,STRAT_3,EUREX,2025-09-03,PENDING,VAL_6406,VAL_5868,VAL_7828,VAL_8356,VAL_6024,VAL_1431
TRD00000091,GoldmanSachs,2025-08-16,14:01:49,IBM,US547955446,161205129,SELL,940100,248.66,987511.58,EUR,HEDGE_Z,TRADER_3,BOOK_9,STRAT_3,LSE,2025-09-03,SETTLED,VAL_9502,VAL_8881,VAL_9744,VAL_5175,VAL_9653,VAL_3367
TRD00000092,JPMorgan,2025-08-19,10:30:55,GOOGL,US898336744,958658448,BUY,394000,375.72,3836593.8,EUR,FUND_Y,TRADER_11,BOOK_5,STRAT_3,NYSE,2025-09-03,CONFIRMED,VAL_9421,VAL_3626,VAL_7676,VAL_5630,VAL_4663,VAL_3186
