id,value,category,amount
383,847,cat_3,847
384,724,cat_4,724
385,817,cat_0,817
386,480,cat_1,480
387,436,cat_2,436
388,654,cat_3,654
389,264,cat_4,264
390,2,cat_0,2
391,997,cat_1,997
392,921,cat_2,921
393,18,cat_3,18
394,286,cat_4,286
395,637,cat_0,637
396,587,cat_1,587
397,874,cat_2,874
398,921,cat_3,921
399,679,cat_4,679
400,258,cat_0,258
401,602,cat_1,602
402,470,cat_2,470
403,940,cat_3,940
404,931,cat_4,931
405,975,cat_0,975
406,753,cat_1,753
407,857,cat_2,857
408,172,cat_3,172
409,82,cat_4,82
410,487,cat_0,487
411,637,cat_1,637
412,293,cat_2,293
413,498,cat_3,498
414,25,cat_4,25
415,97,cat_0,97
416,970,cat_1,970
417,444,cat_2,444
418,623,cat_3,623
419,126,cat_4,126
420,538,cat_0,538
421,446,cat_1,446
422,241,cat_2,241
423,905,cat_3,905
424,921,cat_4,921
425,1,cat_0,1
426,881,cat_1,881
427,522,cat_2,522
428,678,cat_3,678
429,577,cat_4,577
430,246,cat_0,246
431,845,cat_1,845
432,755,cat_2,755
433,843,cat_3,843
434,662,cat_4,662
435,951,cat_0,951
436,313,cat_1,313
437,671,cat_2,671
438,271,cat_3,271
439,17,cat_4,17
440,635,cat_0,635
441,78,cat_1,78
442,347,cat_2,347
443,410,cat_3,410
444,225,cat_4,225
445,712,cat_0,712
446,648,cat_1,648
447,684,cat_2,684
448,805,cat_3,805
449,271,cat_4,271
450,384,cat_0,384
451,83,cat_1,83
452,629,cat_2,629
453,881,cat_3,881
454,577,cat_4,577
455,395,cat_0,395
456,238,cat_1,238
457,591,cat_2,591
458,80,cat_3,80
459,46,cat_4,46
460,78,cat_0,78
461,113,cat_1,113
462,786,cat_2,786
463,175,cat_3,175
464,638,cat_4,638
465,426,cat_0,426
466,928,cat_1,928
467,793,cat_2,793
468,454,cat_3,454
469,544,cat_4,544
470,291,cat_0,291
471,380,cat_1,380
472,680,cat_2,680
473,213,cat_3,213
474,898,cat_4,898
475,514,cat_0,514
476,564,cat_1,564
477,429,cat_2,429
478,521,cat_3,521
479,343,cat_4,343
480,864,cat_0,864
481,613,cat_1,613
482,842,cat_2,842
483,744,cat_3,744
484,293,cat_4,293
485,94,cat_0,94
486,744,cat_1,744
487,73,cat_2,73
488,932,cat_3,932
489,875,cat_4,875
490,509,cat_0,509
491,971,cat_1,971
492,219,cat_2,219
493,726,cat_3,726
494,621,cat_4,621
495,247,cat_0,247
496,633,cat_1,633
497,646,cat_2,646
498,2,cat_3,2
499,325,cat_4,325
500,72,cat_0,72
501,660,cat_1,660
502,416,cat_2,416
503,724,cat_3,724
504,248,cat_4,248
505,563,cat_0,563
506,75,cat_1,75
507,531,cat_2,531
508,717,cat_3,717
509,278,cat_4,278
510,653,cat_0,653
511,941,cat_1,941
512,201,cat_2,201
513,239,cat_3,239
514,153,cat_4,153
515,989,cat_0,989
516,393,cat_1,393
517,679,cat_2,679
518,756,cat_3,756
519,10,cat_4,10
520,174,cat_0,174
521,838,cat_1,838
522,626,cat_2,626
523,236,cat_3,236
524,763,cat_4,763
525,717,cat_0,717
526,681,cat_1,681
527,641,cat_2,641
528,710,cat_3,710
529,323,cat_4,323
530,193,cat_0,193
531,963,cat_1,963
532,221,cat_2,221
533,10,cat_3,10
534,422,cat_4,422
535,145,cat_0,145
536,733,cat_1,733
537,43,cat_2,43
538,230,cat_3,230
539,687,cat_4,687
540,940,cat_0,940
541,99,cat_1,99
542,687,cat_2,687
543,591,cat_3,591
544,148,cat_4,148
545,788,cat_0,788
546,128,cat_1,128
547,884,cat_2,884
548,631,cat_3,631
549,639,cat_4,639
550,542,cat_0,542
551,234,cat_1,234
552,233,cat_2,233
553,140,cat_3,140
554,399,cat_4,399
555,478,cat_0,478
556,248,cat_1,248
557,728,cat_2,728
558,198,cat_3,198
559,618,cat_4,618
560,579,cat_0,579
561,812,cat_1,812
562,332,cat_2,332
563,801,cat_3,801
564,286,cat_4,286
565,378,cat_0,378
566,777,cat_1,777
567,432,cat_2,432
568,435,cat_3,435
569,298,cat_4,298
570,172,cat_0,172
571,990,cat_1,990
572,946,cat_2,946
573,208,cat_3,208
574,850,cat_4,850
575,507,cat_0,507
576,934,cat_1,934
577,111,cat_2,111
578,114,cat_3,114
579,784,cat_4,784
580,833,cat_0,833
581,514,cat_1,514
582,84,cat_2,84
583,239,cat_3,239
584,982,cat_4,982
585,348,cat_0,348
586,267,cat_1,267
587,589,cat_2,589
588,827,cat_3,827
589,300,cat_4,300
590,464,cat_0,464
591,495,cat_1,495
592,662,cat_2,662
593,111,cat_3,111
594,38,cat_4,38
595,602,cat_0,602
596,641,cat_1,641
597,340,cat_2,340
598,327,cat_3,327
599,481,cat_4,481
600,95,cat_0,95
601,450,cat_1,450
602,242,cat_2,242
603,806,cat_3,806
604,43,cat_4,43
605,217,cat_0,217
606,885,cat_1,885
607,71,cat_2,71
608,835,cat_3,835
609,987,cat_4,987
610,240,cat_0,240
611,348,cat_1,348
612,98,cat_2,98
613,981,cat_3,981
614,633,cat_4,633
615,208,cat_0,208
616,947,cat_1,947
617,185,cat_2,185
618,322,cat_3,322
619,619,cat_4,619
620,858,cat_0,858
621,663,cat_1,663
622,815,cat_2,815
623,298,cat_3,298
624,901,cat_4,901
625,204,cat_0,204
626,704,cat_1,704
627,97,cat_2,97
628,727,cat_3,727
629,597,cat_4,597
630,312,cat_0,312
631,236,cat_1,236
632,514,cat_2,514
633,948,cat_3,948
634,518,cat_4,518
635,2,cat_0,2
636,2,cat_1,2
637,991,cat_2,991
638,73,cat_3,73
639,380,cat_4,380
640,775,cat_0,775
641,505,cat_1,505
642,86,cat_2,86
643,175,cat_3,175
644,365,cat_4,365
645,890,cat_0,890
646,168,cat_1,168
647,775,cat_2,775
648,684,cat_3,684
649,440,cat_4,440
650,355,cat_0,355
651,190,cat_1,190
652,284,cat_2,284
653,665,cat_3,665
654,27,cat_4,27
655,66,cat_0,66
656,700,cat_1,700
657,8,cat_2,8
658,172,cat_3,172
659,748,cat_4,748
660,647,cat_0,647
661,283,cat_1,283
662,38,cat_2,38
663,132,cat_3,132
664,247,cat_4,247
665,688,cat_0,688
666,654,cat_1,654
667,795,cat_2,795
668,41,cat_3,41
669,809,cat_4,809
670,748,cat_0,748
671,58,cat_1,58
672,103,cat_2,103
673,948,cat_3,948
674,319,cat_4,319
675,706,cat_0,706
676,791,cat_1,791
677,382,cat_2,382
678,166,cat_3,166
679,690,cat_4,690
680,776,cat_0,776
681,731,cat_1,731
682,354,cat_2,354
683,419,cat_3,419
684,634,cat_4,634
685,833,cat_0,833
686,248,cat_1,248
687,757,cat_2,757
688,315,cat_3,315
689,258,cat_4,258
690,190,cat_0,190
691,95,cat_1,95
692,810,cat_2,810
693,228,cat_3,228
694,656,cat_4,656
695,504,cat_0,504
696,900,cat_1,900
697,74,cat_2,74
698,119,cat_3,119
699,302,cat_4,302
700,37,cat_0,37
701,603,cat_1,603
702,385,cat_2,385
703,752,cat_3,752
704,123,cat_4,123
705,696,cat_0,696
706,498,cat_1,498
707,460,cat_2,460
708,988,cat_3,988
709,863,cat_4,863
710,764,cat_0,764
711,869,cat_1,869
712,546,cat_2,546
713,261,cat_3,261
714,121,cat_4,121
715,39,cat_0,39
716,764,cat_1,764
717,509,cat_2,509
718,555,cat_3,555
719,86,cat_4,86
720,35,cat_0,35
721,141,cat_1,141
722,323,cat_2,323
723,881,cat_3,881
724,499,cat_4,499
725,604,cat_0,604
726,717,cat_1,717
727,45,cat_2,45
728,156,cat_3,156
729,4,cat_4,4
730,386,cat_0,386
731,716,cat_1,716
732,98,cat_2,98
733,251,cat_3,251
734,330,cat_4,330
735,90,cat_0,90
736,37,cat_1,37
737,914,cat_2,914
738,181,cat_3,181
739,699,cat_4,699
740,103,cat_0,103
741,290,cat_1,290
742,121,cat_2,121
743,133,cat_3,133
744,884,cat_4,884
745,995,cat_0,995
746,157,cat_1,157
747,375,cat_2,375
748,790,cat_3,790
749,819,cat_4,819
750,430,cat_0,430
751,701,cat_1,701
752,127,cat_2,127
753,276,cat_3,276
754,552,cat_4,552
755,960,cat_0,960
756,800,cat_1,800
757,513,cat_2,513
758,258,cat_3,258
759,814,cat_4,814
760,925,cat_0,925
761,347,cat_1,347
762,362,cat_2,362
763,365,cat_3,365
764,379,cat_4,379
765,388,cat_0,388
766,431,cat_1,431
767,738,cat_2,738
768,290,cat_3,290
769,855,cat_4,855
770,274,cat_0,274
771,482,cat_1,482
772,631,cat_2,631
773,877,cat_3,877
774,265,cat_4,265
775,878,cat_0,878
776,799,cat_1,799
777,186,cat_2,186
778,998,cat_3,998
779,547,cat_4,547
780,623,cat_0,623
781,711,cat_1,711
782,518,cat_2,518
783,681,cat_3,681
784,492,cat_4,492
785,64,cat_0,64
786,863,cat_1,863
787,928,cat_2,928
788,211,cat_3,211
789,145,cat_4,145
790,846,cat_0,846
791,650,cat_1,650
792,675,cat_2,675
793,806,cat_3,806
794,937,cat_4,937
795,275,cat_0,275
796,636,cat_1,636
797,105,cat_2,105
798,129,cat_3,129
799,427,cat_4,427
800,461,cat_0,461
801,321,cat_1,321
802,142,cat_2,142
803,223,cat_3,223
804,466,cat_4,466
805,86,cat_0,86
806,250,cat_1,250
807,707,cat_2,707
808,578,cat_3,578
809,553,cat_4,553
810,742,cat_0,742
811,64,cat_1,64
812,346,cat_2,346
813,778,cat_3,778
814,204,cat_4,204
815,801,cat_0,801
816,74,cat_1,74
817,605,cat_2,605
818,822,cat_3,822
819,502,cat_4,502
820,345,cat_0,345
821,815,cat_1,815
822,972,cat_2,972
823,630,cat_3,630
824,809,cat_4,809
825,556,cat_0,556
826,466,cat_1,466
827,61,cat_2,61
828,327,cat_3,327
829,783,cat_4,783
830,956,cat_0,956
831,244,cat_1,244
832,93,cat_2,93
833,863,cat_3,863
834,394,cat_4,394
835,257,cat_0,257
836,997,cat_1,997
837,310,cat_2,310
838,419,cat_3,419
839,93,cat_4,93
840,140,cat_0,140
841,726,cat_1,726
842,603,cat_2,603
843,609,cat_3,609
844,814,cat_4,814
845,642,cat_0,642
846,739,cat_1,739
847,709,cat_2,709
848,871,cat_3,871
849,143,cat_4,143
850,318,cat_0,318
851,302,cat_1,302
852,207,cat_2,207
853,504,cat_3,504
854,313,cat_4,313
855,377,cat_0,377
856,554,cat_1,554
857,517,cat_2,517
858,205,cat_3,205
859,391,cat_4,391
860,290,cat_0,290
861,708,cat_1,708
862,514,cat_2,514
863,22,cat_3,22
864,468,cat_4,468
865,42,cat_0,42
866,136,cat_1,136
867,209,cat_2,209
868,406,cat_3,406
869,79,cat_4,79
870,201,cat_0,201
871,18,cat_1,18
872,771,cat_2,771
873,572,cat_3,572
874,258,cat_4,258
875,800,cat_0,800
876,931,cat_1,931
877,296,cat_2,296
878,346,cat_3,346
879,819,cat_4,819
880,395,cat_0,395
881,368,cat_1,368
882,816,cat_2,816
883,275,cat_3,275
884,799,cat_4,799
885,671,cat_0,671
886,25,cat_1,25
887,928,cat_2,928
888,851,cat_3,851
889,505,cat_4,505
890,746,cat_0,746
891,90,cat_1,90
892,904,cat_2,904
893,515,cat_3,515
894,842,cat_4,842
895,574,cat_0,574
896,796,cat_1,796
897,919,cat_2,919
898,89,cat_3,89
899,569,cat_4,569
900,559,cat_0,559
901,261,cat_1,261
902,496,cat_2,496
903,850,cat_3,850
904,112,cat_4,112
905,518,cat_0,518
906,430,cat_1,430
907,612,cat_2,612
908,352,cat_3,352
909,995,cat_4,995
910,796,cat_0,796
911,299,cat_1,299
912,212,cat_2,212
913,996,cat_3,996
914,637,cat_4,637
915,41,cat_0,41
916,419,cat_1,419
917,160,cat_2,160
918,664,cat_3,664
919,921,cat_4,921
920,675,cat_0,675
921,256,cat_1,256
922,272,cat_2,272
923,955,cat_3,955
924,307,cat_4,307
925,748,cat_0,748
926,546,cat_1,546
927,21,cat_2,21
928,268,cat_3,268
929,877,cat_4,877
930,369,cat_0,369
931,256,cat_1,256
932,703,cat_2,703
933,566,cat_3,566
934,156,cat_4,156
935,53,cat_0,53
936,560,cat_1,560
937,927,cat_2,927
938,975,cat_3,975
939,521,cat_4,521
940,813,cat_0,813
941,306,cat_1,306
942,43,cat_2,43
943,216,cat_3,216
944,328,cat_4,328
945,673,cat_0,673
946,461,cat_1,461
947,766,cat_2,766
948,812,cat_3,812
949,389,cat_4,389
950,19,cat_0,19
951,911,cat_1,911
952,463,cat_2,463
953,785,cat_3,785
954,678,cat_4,678
955,819,cat_0,819
956,423,cat_1,423
957,664,cat_2,664
958,552,cat_3,552
959,524,cat_4,524
960,566,cat_0,566
961,136,cat_1,136
962,363,cat_2,363
963,746,cat_3,746
964,845,cat_4,845
965,74,cat_0,74
966,293,cat_1,293
967,983,cat_2,983
968,127,cat_3,127
969,687,cat_4,687
970,288,cat_0,288
971,238,cat_1,238
972,334,cat_2,334
973,849,cat_3,849
974,135,cat_4,135
975,599,cat_0,599
976,544,cat_1,544
977,674,cat_2,674
978,535,cat_3,535
979,423,cat_4,423
980,132,cat_0,132
981,309,cat_1,309
982,660,cat_2,660
983,781,cat_3,781
984,417,cat_4,417
985,743,cat_0,743
986,735,cat_1,735
987,338,cat_2,338
988,163,cat_3,163
989,652,cat_4,652
990,761,cat_0,761
991,231,cat_1,231
992,102,cat_2,102
993,91,cat_3,91
994,560,cat_4,560
995,323,cat_0,323
996,315,cat_1,315
997,434,cat_2,434
998,755,cat_3,755
999,760,cat_4,760
1000,270,cat_0,270
1001,736,cat_1,736
1002,592,cat_2,592
1003,743,cat_3,743
1004,305,cat_4,305
1005,694,cat_0,694
1006,262,cat_1,262
1007,384,cat_2,384
1008,52,cat_3,52
1009,200,cat_4,200
1010,373,cat_0,373
1011,376,cat_1,376
1012,411,cat_2,411
1013,557,cat_3,557
1014,715,cat_4,715
1015,464,cat_0,464
1016,928,cat_1,928
1017,478,cat_2,478
1018,686,cat_3,686
1019,459,cat_4,459
1020,578,cat_0,578
1021,192,cat_1,192
1022,993,cat_2,993
1023,462,cat_3,462
1024,778,cat_4,778
1025,679,cat_0,679
1026,48,cat_1,48
1027,445,cat_2,445
1028,441,cat_3,441
1029,436,cat_4,436
1030,312,cat_0,312
1031,155,cat_1,155
1032,226,cat_2,226
1033,184,cat_3,184
1034,378,cat_4,378
1035,672,cat_0,672
1036,244,cat_1,244
1037,291,cat_2,291
1038,455,cat_3,455
1039,805,cat_4,805
1040,666,cat_0,666
1041,922,cat_1,922
1042,820,cat_2,820
1043,367,cat_3,367
1044,138,cat_4,138
1045,405,cat_0,405
1046,823,cat_1,823
1047,375,cat_2,375
1048,121,cat_3,121
1049,307,cat_4,307
1050,245,cat_0,245
1051,955,cat_1,955
1052,200,cat_2,200
1053,257,cat_3,257
1054,152,cat_4,152
1055,965,cat_0,965
1056,309,cat_1,309
1057,787,cat_2,787
1058,494,cat_3,494
1059,798,cat_4,798
1060,619,cat_0,619
1061,238,cat_1,238
1062,247,cat_2,247
1063,939,cat_3,939
1064,108,cat_4,108
1065,589,cat_0,589
1066,236,cat_1,236
1067,646,cat_2,646
1068,371,cat_3,371
1069,623,cat_4,623
1070,380,cat_0,380
1071,346,cat_1,346
1072,429,cat_2,429
1073,194,cat_3,194
1074,766,cat_4,766
1075,558,cat_0,558
1076,552,cat_1,552
1077,921,cat_2,921
1078,246,cat_3,246
1079,430,cat_4,430
1080,726,cat_0,726
1081,214,cat_1,214
1082,652,cat_2,652
1083,84,cat_3,84
1084,983,cat_4,983
1085,448,cat_0,448
1086,545,cat_1,545
1087,381,cat_2,381
1088,929,cat_3,929
1089,692,cat_4,692
1090,521,cat_0,521
1091,18,cat_1,18
1092,61,cat_2,61
1093,60,cat_3,60
1094,86,cat_4,86
1095,57,cat_0,57
1096,488,cat_1,488
1097,52,cat_2,52
1098,413,cat_3,413
1099,746,cat_4,746
1100,283,cat_0,283
1101,753,cat_1,753
1102,291,cat_2,291
1103,588,cat_3,588
1104,235,cat_4,235
1105,848,cat_0,848
1106,6,cat_1,6
1107,2,cat_2,2
1108,145,cat_3,145
1109,423,cat_4,423
1110,115,cat_0,115
1111,127,cat_1,127
1112,88,cat_2,88
1113,821,cat_3,821
1114,60,cat_4,60
1115,282,cat_0,282
1116,669,cat_1,669
1117,888,cat_2,888
1118,24,cat_3,24
1119,222,cat_4,222
1120,255,cat_0,255
1121,706,cat_1,706
1122,950,cat_2,950
1123,212,cat_3,212
1124,401,cat_4,401
1125,938,cat_0,938
1126,814,cat_1,814
1127,874,cat_2,874
1128,855,cat_3,855
1129,286,cat_4,286
1130,940,cat_0,940
1131,523,cat_1,523
1132,820,cat_2,820
1133,998,cat_3,998
1134,451,cat_4,451
1135,489,cat_0,489
1136,149,cat_1,149
1137,38,cat_2,38
1138,629,cat_3,629
1139,161,cat_4,161
1140,785,cat_0,785
1141,351,cat_1,351
1142,482,cat_2,482
1143,837,cat_3,837
1144,811,cat_4,811
1145,53,cat_0,53
1146,264,cat_1,264
1147,162,cat_2,162
1148,202,cat_3,202
1149,192,cat_4,192
1150,401,cat_0,401
1151,54,cat_1,54
1152,306,cat_2,306
1153,725,cat_3,725
1154,183,cat_4,183
1155,534,cat_0,534
1156,110,cat_1,110
1157,807,cat_2,807
1158,260,cat_3,260
1159,138,cat_4,138
1160,605,cat_0,605
1161,439,cat_1,439
1162,320,cat_2,320
1163,228,cat_3,228
1164,665,cat_4,665
1165,988,cat_0,988
1166,107,cat_1,107
1167,392,cat_2,392
1168,831,cat_3,831
1169,209,cat_4,209
1170,139,cat_0,139
1171,719,cat_1,719
1172,500,cat_2,500
1173,690,cat_3,690
1174,728,cat_4,728
1175,735,cat_0,735
1176,788,cat_1,788
1177,559,cat_2,559
1178,129,cat_3,129
1179,627,cat_4,627
1180,781,cat_0,781
1181,864,cat_1,864
1182,638,cat_2,638
1183,492,cat_3,492
1184,426,cat_4,426
1185,879,cat_0,879
1186,313,cat_1,313
1187,271,cat_2,271
1188,502,cat_3,502
1189,498,cat_4,498
1190,6,cat_0,6
1191,627,cat_1,627
1192,989,cat_2,989
1193,901,cat_3,901
1194,499,cat_4,499
1195,446,cat_0,446
1196,705,cat_1,705
1197,157,cat_2,157
1198,197,cat_3,197
1199,27,cat_4,27
1200,227,cat_0,227
1201,566,cat_1,566
1202,509,cat_2,509
1203,465,cat_3,465
1204,4,cat_4,4
1205,809,cat_0,809
1206,179,cat_1,179
1207,646,cat_2,646
1208,288,cat_3,288
1209,101,cat_4,101
1210,859,cat_0,859
1211,604,cat_1,604
1212,786,cat_2,786
1213,253,cat_3,253
1214,252,cat_4,252
1215,355,cat_0,355
1216,248,cat_1,248
1217,879,cat_2,879
1218,957,cat_3,957
1219,110,cat_4,110
1220,735,cat_0,735
1221,148,cat_1,148
1222,640,cat_2,640
1223,221,cat_3,221
1224,893,cat_4,893
1225,533,cat_0,533
1226,867,cat_1,867
1227,879,cat_2,879
1228,151,cat_3,151
1229,349,cat_4,349
1230,384,cat_0,384
1231,941,cat_1,941
1232,641,cat_2,641
1233,405,cat_3,405
1234,171,cat_4,171
1235,496,cat_0,496
1236,65,cat_1,65
1237,882,cat_2,882
1238,399,cat_3,399
1239,237,cat_4,237
1240,537,cat_0,537
1241,877,cat_1,877
1242,560,cat_2,560
1243,771,cat_3,771
1244,224,cat_4,224
1245,649,cat_0,649
1246,228,cat_1,228
1247,460,cat_2,460
1248,20,cat_3,20
