longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.08,37.95,33,1043,157,425,148,4.8702,NEAR BAY,235600
-122.32,37.96,25,1728,403,934,412,3.375,NEAR BAY,133700
-122.19,37.73,45,1528,291,801,287,1.2625,NEAR BAY,84700
-122.05,38,16,1085,217,356,232,2.3462,NEAR BAY,75000
-122.28,37.89,52,2070,329,722,306,5.4171,NEAR BAY,292000
-122.47,37.75,45,2399,426,911,423,4.4312,NEAR BAY,361000
-122.41,37.8,52,2583,672,1335,613,3.1477,NEAR BAY,500001
-122.14,37.69,38,1571,317,874,301,4.4659,NEAR BAY,189100
-122.42,37.8,52,3067,870,2122,850,2.5603,NEAR BAY,287500
-122.33,38.33,15,3193,468,1303,426,5.3017,NEAR BAY,202600
-122.04,37.58,14,14917,2708,8012,2606,5.6277,NEAR BAY,269800
-122.22,37.88,20,95,13,31,15,2.4444,NEAR BAY,475000
-122.16,37.77,45,2324,397,968,384,3.5739,NEAR BAY,176000
-122.03,37.69,20,200,25,83,31,6.5,NEAR BAY,340000
-122.15,37.41,29,473,103,359,87,7.0309,NEAR BAY,475000
-122.04,37.95,29,866,138,341,133,4.7188,NEAR BAY,197100
-122.15,37.7,36,1468,252,733,229,3.4583,NEAR BAY,192600
-122.45,37.72,46,1406,235,771,239,4.7143,NEAR BAY,219300
-122.42,37.8,52,2657,772,1014,685,4.038,NEAR BAY,500001
-122.2,37.96,9,6306,962,2581,911,6.7741,NEAR BAY,310700
-122.45,38.3,24,1946,400,718,380,3.5507,NEAR BAY,257900
-122.13,38,33,2821,652,1206,640,2.5481,NEAR BAY,150800
-122.49,37.99,27,5470,755,1916,764,6.994,NEAR BAY,420800
-122.19,37.79,50,968,195,462,184,2.9844,NEAR BAY,179900
-122.06,37.94,19,4005,972,1896,893,2.5268,NEAR BAY,235700
-122.19,37.84,18,1617,210,533,194,11.6017,NEAR BAY,392600
-122.58,38.12,13,5027,871,1912,770,4.9286,NEAR BAY,309500
-122.44,37.76,38,2202,452,833,435,6.8939,NEAR BAY,455900
-122.18,37.91,31,7200,876,2428,843,10.9405,NEAR BAY,500001
-122.19,37.78,49,1183,205,496,209,5.2328,NEAR BAY,174200
-122.02,37.56,23,4332,857,2461,829,4.3594,NEAR BAY,223400
-122.54,38.14,16,4431,603,1659,630,7.5412,NEAR BAY,392100
-122.02,37.55,33,1325,274,909,267,4.5687,NEAR BAY,177200
-122.15,37.46,30,4198,1244,2678,1147,3.6712,NEAR BAY,308600
-122.44,37.78,52,2911,753,1696,676,2.5721,NEAR BAY,475000
-122.47,37.74,52,2055,265,735,252,8.1189,NEAR BAY,500001
-122.09,37.71,35,2663,387,1086,367,5.1498,NEAR BAY,266400
-122.14,37.84,24,2131,343,874,373,5.6349,NEAR BAY,355600
-122.03,37.92,23,3318,408,1124,393,6.5847,NEAR BAY,358800
-122.22,38.1,44,2256,451,1057,426,3.1204,NEAR BAY,110800
-122.12,37.85,18,5252,686,1870,657,8.0074,NEAR BAY,454100
-122.41,37.75,9,1282,334,1176,305,2.6538,NEAR BAY,206300
-122.43,37.77,52,1567,482,654,425,2.6914,NEAR BAY,366700
-122.33,38.21,33,2017,370,949,342,4.625,NEAR BAY,228600
-122.13,38.01,51,1262,309,608,298,2.1974,NEAR BAY,139300
-122.24,37.76,49,2428,525,1110,492,3.6719,NEAR BAY,229800
-122.11,37.4,16,1994,489,1173,472,4.1875,NEAR BAY,266400
-122.2,37.47,44,1927,332,846,362,4.2083,NEAR BAY,278200
-122.16,37.75,24,1790,454,1137,386,2.537,NEAR BAY,107900
-122.25,37.79,51,175,43,228,55,2.1,NEAR BAY,75000
-122.28,37.87,46,1777,446,805,431,2.8676,NEAR BAY,212000
-122.18,37.7,36,2639,533,1209,519,4.0268,NEAR BAY,205500
-122.14,37.71,27,3094,866,1364,789,2.6101,NEAR BAY,181700
-122.38,37.76,52,248,68,124,51,1.4886,NEAR BAY,450000
-122.2,37.78,52,2300,443,1225,423,3.5398,NEAR BAY,158400
-122.43,37.79,52,3522,938,1319,887,4.3986,NEAR BAY,500001
-122.44,37.79,52,1979,359,648,370,5.3124,NEAR BAY,500001
-122.46,37.78,52,2594,622,1421,593,3.0265,NEAR BAY,350000
-122.14,37.45,52,3841,537,1391,540,7.8647,NEAR BAY,500001
-122.07,37.89,38,757,124,319,123,5.6558,NEAR BAY,263300
-122.2,38.1,5,9567,1729,4620,1580,4.4821,NEAR BAY,210000
-122.27,37.82,43,1007,312,558,253,1.7348,NEAR BAY,137500
-122.29,37.87,46,1267,324,792,321,2.525,NEAR BAY,165900
-122.22,38.12,15,14125,2344,6456,2147,5.1014,NEAR BAY,179500
-122.17,37.87,38,1261,177,472,183,6.917,NEAR BAY,438000
-122.33,37.95,46,1543,339,777,322,4.0927,NEAR BAY,142600
-122.42,37.74,52,2019,418,999,448,4.2212,NEAR BAY,271300
-122.12,37.71,35,1037,207,552,210,4,NEAR BAY,167900
-122.47,37.75,51,2413,431,1095,437,4.0089,NEAR BAY,357000
-122.26,37.84,52,696,191,345,174,2.6736,NEAR BAY,191300
-122.12,37.81,26,4048,513,1486,498,7.6717,NEAR BAY,416500
-122.16,37.46,32,2663,661,1403,733,4.2667,NEAR BAY,410200
-122.13,37.68,43,1676,340,924,328,3.6,NEAR BAY,179400
-122.09,37.4,22,1489,436,662,470,3.5179,NEAR BAY,197200
-122.3,37.88,45,453,146,749,137,1.475,NEAR BAY,187500
-122.37,37.94,49,969,229,599,195,1.3167,NEAR BAY,71600
-122.42,37.79,52,2737,1241,1761,1029,1.8068,NEAR BAY,225000
-122.14,37.7,17,1463,292,695,330,4.5859,NEAR BAY,187200
-122.22,38.09,47,2161,440,966,360,2.2734,NEAR BAY,88700
-122.16,37.45,19,2207,810,1304,775,2.1406,NEAR BAY,402500
-122.24,37.85,52,1467,190,496,177,7.2574,NEAR BAY,352100
-122.46,37.98,10,1325,189,427,162,12.0933,NEAR BAY,500001
-122.27,37.54,15,2126,310,905,306,8.9083,NEAR BAY,500001
-122.28,37.8,38,684,176,344,155,2.0114,NEAR BAY,131300
-122.25,37.87,52,1204,460,2016,477,0.949,NEAR BAY,350000
-122.24,38.31,38,1938,301,823,285,6.1089,NEAR BAY,280800
-122.29,37.92,32,1736,234,602,231,6.516,NEAR BAY,401000
-122.04,37.96,20,1143,346,578,298,2.2411,NEAR BAY,151800
-122.2,37.79,44,1621,452,1354,491,2.619,NEAR BAY,134700
-122.01,37.95,8,3866,539,1555,513,6.0901,NEAR BAY,298200
-122.17,37.75,48,1751,390,935,349,1.4375,NEAR BAY,90000
-122.27,37.55,16,4789,816,1840,763,6.7474,NEAR BAY,338200
-122.16,37.79,22,12842,2048,4985,1967,5.9849,NEAR BAY,371000
-122.14,37.43,52,1383,227,551,249,6.5829,NEAR BAY,500001
-122.24,37.83,52,1757,246,585,227,5.8948,NEAR BAY,457800
-122.24,37.77,52,1711,386,885,373,3.6417,NEAR BAY,206300
-122.47,37.77,52,3143,635,1350,623,3.8571,NEAR BAY,366700
-122.24,38.15,10,6817,1188,4163,1135,4.4529,NEAR BAY,144100
-122.18,37.68,5,2087,407,840,401,5.4858,NEAR BAY,187800
-122.16,37.83,16,4596,705,1480,650,7.52,NEAR BAY,370200
-122.13,37.45,41,3233,540,1251,506,6.6354,NEAR BAY,500001
-122.39,37.76,52,2316,468,1047,476,4.5057,NEAR BAY,321600
-122.03,37.56,24,8444,1492,4446,1491,4.6978,NEAR BAY,240300
-122.22,38.1,44,3013,563,1353,512,3.4559,NEAR BAY,111900
-122.08,37.63,34,1619,293,1148,310,4.0326,NEAR BAY,164700
-122.29,37.92,36,1450,235,568,234,6,NEAR BAY,311400
-122.42,37.77,52,1925,568,867,515,2.879,NEAR BAY,450000
-122.41,37.79,52,3610,1286,1504,1047,3.2059,NEAR BAY,500001
-122.43,37.73,49,1435,322,1008,329,4,NEAR BAY,264000
-122.09,37.36,37,2269,325,930,321,7.5274,NEAR BAY,500001
-122.47,37.76,52,2941,783,1545,726,2.9899,NEAR BAY,406500
-122.25,37.86,52,4048,663,1316,590,5.3794,NEAR BAY,376900
-122.06,37.89,21,4985,1590,2575,1458,3.1002,NEAR BAY,114300
-122.12,37.99,33,1660,277,741,261,4.675,NEAR BAY,225400
-122.2,37.78,50,1867,403,1128,378,2.5401,NEAR BAY,129100
-122.49,37.89,23,1650,403,541,336,6.0238,NEAR BAY,500001
-122.27,37.81,40,880,451,582,380,0.977,NEAR BAY,118800
-122.14,38.05,27,3794,772,1756,724,3.2891,NEAR BAY,150600
-122.08,37.94,44,2185,357,943,366,4.725,NEAR BAY,232100
-122.28,37.84,52,729,160,395,155,1.6875,NEAR BAY,132000
-122.16,37.77,47,1256,,570,218,4.375,NEAR BAY,161900
-122.21,37.78,52,1477,300,1065,269,1.8472,NEAR BAY,137000
-122.05,37.94,22,4162,1194,1804,1185,2.5459,NEAR BAY,179300
-122.18,37.79,46,2109,387,922,329,3.9712,NEAR BAY,208100
-122.21,37.83,40,4991,674,1616,654,7.5544,NEAR BAY,411500
-122.55,37.97,52,2232,291,731,253,7.1155,NEAR BAY,500001
-122.09,37.38,34,1959,342,849,357,6.2884,NEAR BAY,414700
-122.03,37.97,45,1613,338,865,336,3.25,NEAR BAY,151100
-122.29,37.97,20,3426,632,1512,580,4.4911,NEAR BAY,227400
-122.26,37.55,17,4576,814,1941,807,5.9572,NEAR BAY,443800
-122.04,37.55,23,3170,532,1446,515,4.4357,NEAR BAY,291700
-122.28,37.77,27,3997,1073,1901,966,3.75,NEAR BAY,242800
-122.46,37.78,52,2632,542,1364,544,3.4605,NEAR BAY,441700
-122.02,37.94,19,3192,612,1317,594,4.125,NEAR BAY,267100
-122.46,37.78,52,2051,552,1400,510,3.2396,NEAR BAY,375000
-122.42,37.77,52,2185,656,1266,626,2.7794,NEAR BAY,350000
-122.1,37.63,18,9963,2031,5613,1946,3.8171,NEAR BAY,187200
-122.29,37.9,52,1604,263,594,286,5.338,NEAR BAY,270900
-122.29,37.88,50,1211,261,523,227,3.8672,NEAR BAY,216700
-122.39,37.73,46,1517,299,879,309,2.2222,NEAR BAY,195100
-122.3,38.33,15,4741,956,2043,856,4.1862,NEAR BAY,183600
-122.39,37.76,52,3390,691,1645,596,3.7051,NEAR BAY,253700
-122.43,37.76,52,2242,459,751,464,4.75,NEAR BAY,500001
-122.48,37.75,49,2203,407,1052,405,4.4375,NEAR BAY,329200
-122.21,37.8,39,2018,447,1221,446,3.0757,NEAR BAY,151000
-122.26,37.9,52,1927,279,705,288,7.8864,NEAR BAY,357300
-122.22,37.78,50,1776,473,1807,440,1.7276,NEAR BAY,102300
-122.45,37.77,52,3939,852,1737,797,4.5052,NEAR BAY,500001
-122.53,37.91,37,2524,398,999,417,7.9892,NEAR BAY,500001
-122.28,37.88,52,1909,416,811,406,3.006,NEAR BAY,227900
-122.07,37.92,26,3872,739,1629,684,4.4312,NEAR BAY,225000
-122.11,37.64,8,3592,849,1907,746,3.6708,NEAR BAY,197900
-122.41,37.71,28,5015,1240,3900,1029,1.2269,NEAR BAY,181900
-122.27,37.77,23,5679,1270,2690,1151,4.7695,NEAR BAY,291700
-122.07,37.67,28,2932,739,1198,624,3.2417,NEAR BAY,210800
-122.45,37.72,47,1773,345,1083,315,4.475,NEAR BAY,221200
-122.08,37.9,32,1075,170,486,173,5.0499,NEAR BAY,306800
-122.18,37.77,51,2107,471,1173,438,3.2552,NEAR BAY,120100
-122.42,37.72,37,2638,546,1789,521,4.0071,NEAR BAY,244700
-122.23,38.15,33,1253,238,753,236,1.756,NEAR BAY,86400
-122.29,37.89,52,2178,421,940,423,5.0551,NEAR BAY,232200
-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY,132500
-122.22,38.07,4,15654,2394,7025,2168,5.8171,NEAR BAY,225200
-122.29,37.83,52,1121,211,554,187,3.3929,NEAR BAY,75700
-122.16,37.74,52,771,147,355,144,4.1458,NEAR BAY,143400
-122.02,37.98,40,1797,401,756,369,2.8456,NEAR BAY,165500
-122.15,37.69,39,1670,308,957,335,5.1312,NEAR BAY,183600
-122.42,37.77,52,759,323,421,255,2.0548,NEAR BAY,162500
-122.26,37.55,17,1321,425,683,408,4.7045,NEAR BAY,500001
-122.4,37.75,26,54,9,23,9,6.1359,NEAR BAY,225000
-122.03,37.55,22,9167,1373,4319,1404,6.992,NEAR BAY,284800
-117.96,33.76,22,2520,556,2126,527,3.7734,<1H OCEAN,193900
-118.23,34.1,41,1353,379,1536,416,2.1687,<1H OCEAN,157000
-117.89,34.11,27,2434,535,1623,498,3.6875,<1H OCEAN,140200
-117.88,33.78,26,3141,670,1572,724,3.3472,<1H OCEAN,237400
-121.99,37.55,28,2414,415,1106,453,4.8403,<1H OCEAN,268600
-117.97,33.84,35,793,128,589,137,5.25,<1H OCEAN,190200
-118.15,33.85,36,1435,249,606,234,4.1439,<1H OCEAN,212600
-117.06,33.13,12,8742,2114,4854,1957,2.8015,<1H OCEAN,143500
-118.35,33.9,13,2887,853,2197,800,2.8777,<1H OCEAN,207900
-117.25,33.7,10,5156,941,2294,747,3.58,<1H OCEAN,113400
-118.74,34.26,27,3467,545,1798,493,4.8717,<1H OCEAN,204100
-121.76,37.33,5,4153,719,2435,697,5.6306,<1H OCEAN,286200
-118.25,34.13,36,2946,1025,2542,912,2.2244,<1H OCEAN,255900
-118.12,34.1,49,2057,430,1103,414,4.0556,<1H OCEAN,282600
-118.31,33.84,52,1819,464,1068,424,3.625,<1H OCEAN,270700
-118.17,34.02,34,760,219,968,202,1.7813,<1H OCEAN,145000
-118.21,34.09,34,1660,412,1678,382,2.7708,<1H OCEAN,148200
-123.02,38.54,35,2157,487,768,322,3.2315,<1H OCEAN,136900
-118.27,34.13,46,1613,396,966,416,2.9392,<1H OCEAN,230300
-118.56,34.41,4,17313,3224,6902,2707,5.6798,<1H OCEAN,320900
-118.2,34.11,52,678,173,791,186,4.0625,<1H OCEAN,171300
-118.51,34.16,23,11154,1995,4076,1809,5.4609,<1H OCEAN,500001
-121.93,37.32,52,1460,492,1165,455,2.5833,<1H OCEAN,167500
-121.98,37.29,31,2750,664,1459,660,3.2287,<1H OCEAN,264900
-122.69,38.3,30,3919,743,1693,693,3.3827,<1H OCEAN,292100
-118.34,34.19,43,1029,252,613,255,2.6827,<1H OCEAN,219900
-118.2,34.12,52,1580,426,1462,406,3.3326,<1H OCEAN,167600
-122.01,37.27,28,3825,473,1415,480,10.675,<1H OCEAN,500001
-118.22,34.05,44,1105,346,1598,372,1.2,<1H OCEAN,115600
-118.13,34.15,9,2099,625,1252,554,3.1875,<1H OCEAN,173100
-118.29,34.08,34,479,182,557,170,1.525,<1H OCEAN,210000
-118.31,34.08,31,2275,823,2189,720,1.7542,<1H OCEAN,287500
-118.26,33.92,42,3320,682,2105,632,1.9809,<1H OCEAN,104600
-117.99,33.71,19,1967,487,1251,404,3.6696,<1H OCEAN,218800
-118.26,33.94,44,1103,265,760,247,1.6887,<1H OCEAN,99600
-118.1,33.93,33,1474,325,1205,335,3.1397,<1H OCEAN,166800
-118.45,34.16,33,2544,500,1035,492,4.475,<1H OCEAN,314800
-118.26,34.04,6,1529,566,1051,473,2.462,<1H OCEAN,162500
-118.01,33.84,29,3740,691,1724,638,3.9628,<1H OCEAN,215600
-121.75,37.11,18,3167,,1414,482,6.8773,<1H OCEAN,467700
-123.81,39.34,17,1981,371,773,325,3.1563,<1H OCEAN,277000
-118.08,33.86,26,778,173,539,186,3.2679,<1H OCEAN,236500
-118.03,33.96,37,1745,365,1022,368,4.0536,<1H OCEAN,171400
-122.6,38.11,23,8642,1294,3594,1253,5.3962,<1H OCEAN,301500
-118.2,33.91,43,1381,278,1494,298,3.5878,<1H OCEAN,118400
-118.13,33.85,36,2110,416,1128,403,4.6019,<1H OCEAN,208400
-117.96,33.82,19,1199,251,730,276,3.6422,<1H OCEAN,209400
-118.41,34.03,36,3053,635,1234,577,5.1637,<1H OCEAN,500001
-118.36,34.09,33,3463,1170,1845,1134,2.0205,<1H OCEAN,243800
-117.05,33.13,17,2385,372,1118,369,4.2813,<1H OCEAN,169900
-123.2,39.23,26,786,168,494,161,2.3583,<1H OCEAN,105400
-118.24,34.08,52,109,20,86,24,4.9844,<1H OCEAN,187500
-122.74,38.83,12,4515,909,1554,528,3.3531,<1H OCEAN,90800
-116.86,33.02,17,401,68,251,69,4.6518,<1H OCEAN,170200
-118.31,34.02,23,1703,397,1333,361,1.3187,<1H OCEAN,127100
-118.26,34.08,45,2174,627,1992,557,2.5428,<1H OCEAN,167800
-122.79,38.5,18,4839,918,2755,841,3.75,<1H OCEAN,248300
-118.12,34.02,32,1789,528,1429,517,1.8906,<1H OCEAN,224500
-122,37.23,36,3191,430,1234,440,9.0704,<1H OCEAN,500001
-118.39,34.03,19,1450,509,746,437,3.1415,<1H OCEAN,55000
-117.72,33.49,4,3623,734,1129,530,5.7281,<1H OCEAN,500001
-118.29,34.08,38,380,130,445,140,1.9286,<1H OCEAN,137500
-118.27,33.84,24,6303,1277,3728,1252,3.9227,<1H OCEAN,208600
-117.94,33.64,18,1867,426,871,399,2.6221,<1H OCEAN,272000
-118.33,33.89,39,1880,361,982,357,4.1953,<1H OCEAN,226900
-118.36,34.19,46,1676,322,846,295,5.1814,<1H OCEAN,209500
-116.91,32.81,22,4331,637,1952,654,5.4834,<1H OCEAN,232000
-122.79,38.54,5,3986,737,1887,687,3.7768,<1H OCEAN,213800
-118.39,34.06,39,3299,831,1649,759,3.3295,<1H OCEAN,500001
-122.61,38.26,17,2864,487,1482,547,4.6833,<1H OCEAN,215200
-124.05,40.59,32,1878,340,937,353,3.4408,<1H OCEAN,95200
-118.77,34.28,6,4685,965,2180,909,4.5458,<1H OCEAN,208200
-118.32,33.79,21,6638,1634,3240,1568,3.6797,<1H OCEAN,271100
-118.27,34,46,1748,428,1707,409,2.148,<1H OCEAN,103800
-118.44,34.02,39,3278,632,1321,617,6.2917,<1H OCEAN,465700
-118.18,33.87,44,2137,461,1126,439,3.4408,<1H OCEAN,172900
-118.31,33.96,43,2118,569,1266,500,1.747,<1H OCEAN,121000
-118.28,34.01,52,795,308,1118,275,1.2175,<1H OCEAN,131300
-118.64,34.25,47,1315,290,581,268,5.4024,<1H OCEAN,253000
-118.3,34.19,52,2962,468,1364,466,4.9042,<1H OCEAN,343500
-118.12,33.79,41,1762,314,738,300,4.1687,<1H OCEAN,240700
-118.32,33.91,35,940,197,640,215,4.2,<1H OCEAN,181300
-117.99,33.92,27,5805,1152,3106,1144,4.061,<1H OCEAN,222700
-117.81,33.79,25,5950,1155,4528,1064,4.2564,<1H OCEAN,204600
-118.02,33.96,36,2002,361,913,311,4.5446,<1H OCEAN,244700
-118.2,33.87,26,703,202,757,212,2.525,<1H OCEAN,155500
-121.93,37.22,21,4872,594,1811,560,9.3834,<1H OCEAN,500001
-121.83,37.34,21,6404,1232,6047,1235,4.2098,<1H OCEAN,193400
-118.1,33.91,36,726,,490,130,3.6389,<1H OCEAN,167600
-118.54,34.15,26,10111,1295,3599,1257,10.2292,<1H OCEAN,500001
-118.36,34.05,47,1424,300,632,278,4.0625,<1H OCEAN,295200
-117.39,33.69,5,6529,997,3464,1006,5.3275,<1H OCEAN,168700
-118.36,33.97,18,1284,283,990,289,4.0179,<1H OCEAN,195800
-118.58,34.21,27,2209,353,1034,344,4.7125,<1H OCEAN,250900
-121.93,37.72,26,2806,459,1453,444,4.9107,<1H OCEAN,213800
-117.95,33.87,34,1599,296,938,307,4.285,<1H OCEAN,184900
-118.41,34.04,52,2113,332,800,327,11.1768,<1H OCEAN,500001
-118.12,33.86,44,2663,511,1277,462,4.3194,<1H OCEAN,199500
-117.86,33.99,10,17820,2812,8686,2666,6.3875,<1H OCEAN,310700
-116.93,32.87,17,3722,670,1561,604,3.6027,<1H OCEAN,211900
-118.87,34.2,26,1924,245,775,244,7.001,<1H OCEAN,286800
-117.13,32.93,16,2918,444,1697,444,5.3062,<1H OCEAN,195500
-118.28,34.25,35,2045,450,1166,407,3.5214,<1H OCEAN,197600
-118.38,34.02,31,1893,450,819,426,4.3077,<1H OCEAN,140600
-118.21,34.07,31,1453,404,1486,389,2.3859,<1H OCEAN,153100
-118.22,34.19,36,959,204,446,210,3.215,<1H OCEAN,331300
-119.06,34.37,32,3885,759,2504,736,3.6453,<1H OCEAN,201700
-118.45,34.2,19,3666,1150,2657,1090,2.9688,<1H OCEAN,202100
-117.93,33.62,37,2204,428,807,410,7.0516,<1H OCEAN,500001
-118.83,34.18,23,5647,786,2050,738,6.3586,<1H OCEAN,348300
-118.23,34.21,32,1464,406,693,380,2.5463,<1H OCEAN,200000
-117.04,32.79,23,2491,350,863,348,6.7196,<1H OCEAN,306800
-118.44,34.06,9,5102,1695,2609,1450,3.2545,<1H OCEAN,500001
-118.51,34.2,34,2871,581,1350,535,3.7049,<1H OCEAN,227500
-118.4,34.01,44,1494,262,618,266,5.4035,<1H OCEAN,356300
-117.81,33.64,4,1741,225,811,233,12.3411,<1H OCEAN,500001
-118.46,34.16,26,2548,647,1098,540,4.3839,<1H OCEAN,299100
-117.8,33.67,4,3345,552,1525,539,6.7962,<1H OCEAN,329100
-118,33.94,37,903,158,444,158,3.75,<1H OCEAN,174400
-118.14,33.94,31,2841,774,1612,708,2.9205,<1H OCEAN,196600
-118.25,34.01,43,1429,386,1412,354,1.3287,<1H OCEAN,107200
-117.77,33.71,15,2102,295,1060,303,7.3141,<1H OCEAN,337100
-117.98,33.69,22,3957,520,1774,527,7.0907,<1H OCEAN,350200
-118.25,34.14,25,5980,1856,5217,1772,2.506,<1H OCEAN,184500
-118.24,33.92,40,1772,369,1122,324,3.2768,<1H OCEAN,96100
-117.84,34.04,4,9959,1544,4904,1429,6.9754,<1H OCEAN,402500
-117.96,33.99,25,1348,210,660,200,5.2852,<1H OCEAN,297600
-118.02,33.75,26,2989,479,1596,475,5.7157,<1H OCEAN,231200
-118.45,34.24,7,3299,794,2343,647,3.0865,<1H OCEAN,205900
-118.04,34.07,39,2451,649,2536,648,2.3098,<1H OCEAN,173100
-117.95,33.89,17,1665,247,755,254,6.5764,<1H OCEAN,349000
-118.09,33.77,26,5359,1508,1829,1393,1.7675,<1H OCEAN,61300
-118.12,33.95,36,2752,459,1211,452,5.0526,<1H OCEAN,269800
-118.11,33.84,37,1588,272,692,245,4.8594,<1H OCEAN,220300
-118.34,34.16,25,6082,1763,2616,1644,3.6486,<1H OCEAN,246900
-118.31,34,52,2709,642,1751,613,2.1116,<1H OCEAN,122500
-117.83,33.83,23,2775,547,1226,510,3.6707,<1H OCEAN,231400
-118.44,34.18,35,972,270,550,256,2.2461,<1H OCEAN,215000
-120.42,34.96,19,2298,511,1246,513,2.212,<1H OCEAN,132000
-118.22,33.98,34,2225,753,2980,736,1.6685,<1H OCEAN,128800
-118.01,33.95,35,1755,322,774,290,5.0861,<1H OCEAN,296700
-120.66,35.13,41,2666,751,940,507,1.9653,<1H OCEAN,236100
-117.68,33.59,12,3473,466,1569,450,8.8636,<1H OCEAN,314000
-118.48,34.02,22,1249,483,1106,481,2.5261,<1H OCEAN,375000
-118.23,33.97,47,932,295,1226,264,1.6065,<1H OCEAN,111400
-118.2,33.99,33,1134,375,1615,354,2.1468,<1H OCEAN,141700
-118.48,34.23,35,1963,310,919,297,4.7583,<1H OCEAN,258600
-118.07,34.09,33,2178,445,1153,400,3.6083,<1H OCEAN,212000
-117.96,33.79,29,1813,501,1170,482,2.0677,<1H OCEAN,214500
-117.95,33.93,37,2633,630,1904,630,2.6123,<1H OCEAN,161300
-118.34,33.93,37,1638,407,1341,369,3.0677,<1H OCEAN,167700
-118.39,34.1,30,6310,957,1776,880,8.944,<1H OCEAN,500001
-118.36,33.92,46,1231,231,793,256,4.1023,<1H OCEAN,226800
-117.68,33.55,5,2262,427,1016,402,6.065,<1H OCEAN,315500
-122.03,37.31,25,2131,410,1132,395,5.3508,<1H OCEAN,409100
-117.95,33.78,9,3553,1035,2017,986,2.9726,<1H OCEAN,133800
