BuildTypeId,Number,State,Status,StatusText,Branch,Agent,TriggeredBy,Comment,Project,Job,JobId,Started,Finished,DurationSec
Srv_Deploy_3,1017,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4017,27/08/2026 09:38:49,27/08/2026 09:49:52,663
Srv_Deploy_4,1018,finished,FAILURE,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4018,27/08/2026 09:41:06,27/08/2026 09:55:51,885
Srv_Deploy_5,1019,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4019,27/08/2026 09:43:23,27/08/2026 09:46:52,209
Srv_Deploy_6,1020,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4020,27/08/2026 09:45:40,27/08/2026 09:56:30,650
Srv_Deploy_0,1021,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4021,27/08/2026 09:47:57,27/08/2026 09:55:24,447
Srv_Deploy_1,1022,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4022,27/08/2026 09:50:14,27/08/2026 09:56:32,378
Srv_Deploy_2,1023,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4023,27/08/2026 09:52:31,27/08/2026 10:06:48,857
Srv_Deploy_3,1024,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4024,27/08/2026 09:54:48,27/08/2026 10:08:16,808
Srv_Deploy_4,1025,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4025,27/08/2026 09:57:05,27/08/2026 10:06:01,536
Srv_Deploy_5,1026,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4026,27/08/2026 09:59:22,27/08/2026 10:05:41,379
Srv_Deploy_6,1027,finished,FAILURE,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4027,27/08/2026 10:01:39,27/08/2026 10:13:35,716
Srv_Deploy_0,1028,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4028,27/08/2026 10:03:56,27/08/2026 10:16:43,767
Srv_Deploy_1,1029,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4029,27/08/2026 10:06:13,27/08/2026 10:16:01,588
Srv_Deploy_2,1030,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4030,27/08/2026 10:08:30,27/08/2026 10:17:33,543
Srv_Deploy_3,1031,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4031,27/08/2026 10:10:47,27/08/2026 10:12:56,129
Srv_Deploy_4,1032,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4032,27/08/2026 10:13:04,27/08/2026 10:27:07,843
Srv_Deploy_5,1033,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4033,27/08/2026 10:15:21,27/08/2026 10:19:09,228
Srv_Deploy_6,1034,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4034,27/08/2026 10:17:38,27/08/2026 10:19:14,96
Srv_Deploy_0,1035,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4035,27/08/2026 10:19:55,27/08/2026 10:22:27,152
Srv_Deploy_1,1036,finished,FAILURE,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4036,27/08/2026 10:22:12,27/08/2026 10:33:00,648
Srv_Deploy_2,1037,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4037,27/08/2026 10:24:29,27/08/2026 10:31:37,428
Srv_Deploy_3,1038,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4038,27/08/2026 10:26:46,27/08/2026 10:29:17,151
Srv_Deploy_4,1039,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4039,27/08/2026 10:29:03,27/08/2026 10:42:54,831
Srv_Deploy_5,1040,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4040,27/08/2026 10:31:20,27/08/2026 10:42:18,658
Srv_Deploy_6,1041,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4041,27/08/2026 10:33:37,27/08/2026 10:39:33,356
Srv_Deploy_0,1042,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4042,27/08/2026 10:35:54,27/08/2026 10:50:30,876
Srv_Deploy_1,1043,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4043,27/08/2026 10:38:11,27/08/2026 10:43:23,312
Srv_Deploy_2,1044,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4044,27/08/2026 10:40:28,27/08/2026 10:49:40,552
Srv_Deploy_3,1045,finished,FAILURE,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4045,27/08/2026 10:42:45,27/08/2026 10:53:09,624
Srv_Deploy_4,1046,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4046,27/08/2026 10:45:02,27/08/2026 10:59:45,883
Srv_Deploy_5,1047,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4047,27/08/2026 10:47:19,27/08/2026 10:59:56,757
Srv_Deploy_6,1048,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4048,27/08/2026 10:49:36,27/08/2026 10:55:45,369
Srv_Deploy_0,1049,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4049,27/08/2026 10:51:53,27/08/2026 10:59:37,464
Srv_Deploy_1,1050,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4050,27/08/2026 10:54:10,27/08/2026 11:02:14,484
Srv_Deploy_2,1051,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4051,27/08/2026 10:56:27,27/08/2026 11:02:27,360
Srv_Deploy_3,1052,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4052,27/08/2026 10:58:44,27/08/2026 11:00:46,122
Srv_Deploy_4,1053,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4053,27/08/2026 11:01:01,27/08/2026 11:11:38,637
Srv_Deploy_5,1054,finished,FAILURE,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4054,27/08/2026 11:03:18,27/08/2026 11:16:49,811
Srv_Deploy_6,1055,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4055,27/08/2026 11:05:35,27/08/2026 11:14:56,561
Srv_Deploy_0,1056,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4056,27/08/2026 11:07:52,27/08/2026 11:18:35,643
Srv_Deploy_1,1057,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4057,27/08/2026 11:10:09,27/08/2026 11:20:59,650
Srv_Deploy_2,1058,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4058,27/08/2026 11:12:26,27/08/2026 11:20:40,494
Srv_Deploy_3,1059,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4059,27/08/2026 11:14:43,27/08/2026 11:23:00,497
Srv_Deploy_4,1060,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4060,27/08/2026 11:17:00,27/08/2026 11:18:36,96
Srv_Deploy_5,1061,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4061,27/08/2026 11:19:17,27/08/2026 11:30:08,651
Srv_Deploy_6,1062,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4062,27/08/2026 11:21:34,27/08/2026 11:27:38,364
Srv_Deploy_0,1063,finished,FAILURE,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4063,27/08/2026 11:23:51,27/08/2026 11:34:10,619
Srv_Deploy_1,1064,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4064,27/08/2026 11:26:08,27/08/2026 11:41:04,896
Srv_Deploy_2,1065,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4065,27/08/2026 11:28:25,27/08/2026 11:36:40,495
Srv_Deploy_3,1066,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4066,27/08/2026 11:30:42,27/08/2026 11:38:08,446
Srv_Deploy_4,1067,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4067,27/08/2026 11:32:59,27/08/2026 11:34:15,76
Srv_Deploy_5,1068,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4068,27/08/2026 11:35:16,27/08/2026 11:37:23,127
Srv_Deploy_6,1069,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4069,27/08/2026 11:37:33,27/08/2026 11:43:35,362
Srv_Deploy_0,1070,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4070,27/08/2026 11:39:50,27/08/2026 11:52:20,750
Srv_Deploy_1,1071,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4071,27/08/2026 11:42:07,27/08/2026 11:54:11,724
Srv_Deploy_2,1072,finished,FAILURE,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4072,27/08/2026 11:44:24,27/08/2026 11:58:51,867
Srv_Deploy_3,1073,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4073,27/08/2026 11:46:41,27/08/2026 11:48:30,109
Srv_Deploy_4,1074,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4074,27/08/2026 11:48:58,27/08/2026 11:59:03,605
Srv_Deploy_5,1075,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4075,27/08/2026 11:51:15,27/08/2026 12:03:57,762
Srv_Deploy_6,1076,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4076,27/08/2026 11:53:32,27/08/2026 11:59:44,372
Srv_Deploy_0,1077,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4077,27/08/2026 11:55:49,27/08/2026 12:07:43,714
Srv_Deploy_1,1078,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4078,27/08/2026 11:58:06,27/08/2026 12:04:18,372
Srv_Deploy_2,1079,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4079,27/08/2026 12:00:23,27/08/2026 12:08:25,482
Srv_Deploy_3,1080,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4080,27/08/2026 12:02:40,27/08/2026 12:03:48,68
Srv_Deploy_4,1081,finished,FAILURE,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4081,27/08/2026 12:04:57,27/08/2026 12:19:25,868
Srv_Deploy_5,1082,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4082,27/08/2026 12:07:14,27/08/2026 12:12:24,310
Srv_Deploy_6,1083,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4083,27/08/2026 12:09:31,27/08/2026 12:16:36,425
Srv_Deploy_0,1084,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4084,27/08/2026 12:11:48,27/08/2026 12:24:29,761
Srv_Deploy_1,1085,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4085,27/08/2026 12:14:05,27/08/2026 12:26:12,727
Srv_Deploy_2,1086,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4086,27/08/2026 12:16:22,27/08/2026 12:30:57,875
Srv_Deploy_3,1087,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4087,27/08/2026 12:18:39,27/08/2026 12:29:22,643
Srv_Deploy_4,1088,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4088,27/08/2026 12:20:56,27/08/2026 12:30:11,555
Srv_Deploy_5,1089,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4089,27/08/2026 12:23:13,27/08/2026 12:31:57,524
Srv_Deploy_6,1090,finished,FAILURE,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4090,27/08/2026 12:25:30,27/08/2026 12:39:36,846
Srv_Deploy_0,1091,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4091,27/08/2026 12:27:47,27/08/2026 12:28:44,57
Srv_Deploy_1,1092,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4092,27/08/2026 12:30:04,27/08/2026 12:39:19,555
Srv_Deploy_2,1093,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4093,27/08/2026 12:32:21,27/08/2026 12:37:57,336
Srv_Deploy_3,1094,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4094,27/08/2026 12:34:38,27/08/2026 12:45:00,622
Srv_Deploy_4,1095,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4095,27/08/2026 12:36:55,27/08/2026 12:38:00,65
Srv_Deploy_5,1096,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4096,27/08/2026 12:39:12,27/08/2026 12:51:27,735
Srv_Deploy_6,1097,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4097,27/08/2026 12:41:29,27/08/2026 12:50:12,523
Srv_Deploy_0,1098,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4098,27/08/2026 12:43:46,27/08/2026 12:49:15,329
Srv_Deploy_1,1099,finished,FAILURE,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4099,27/08/2026 12:46:03,27/08/2026 13:00:52,889
Srv_Deploy_2,1100,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4100,27/08/2026 12:48:20,27/08/2026 12:57:34,554
Srv_Deploy_3,1101,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4101,27/08/2026 12:50:37,27/08/2026 13:05:15,878
Srv_Deploy_4,1102,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4102,27/08/2026 12:52:54,27/08/2026 12:55:02,128
Srv_Deploy_5,1103,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4103,27/08/2026 12:55:11,27/08/2026 13:06:18,667
Srv_Deploy_6,1104,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4104,27/08/2026 12:57:28,27/08/2026 12:59:21,113
Srv_Deploy_0,1105,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4105,27/08/2026 12:59:45,27/08/2026 13:12:48,783
Srv_Deploy_1,1106,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4106,27/08/2026 13:02:02,27/08/2026 13:16:24,862
Srv_Deploy_2,1107,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4107,27/08/2026 13:04:19,27/08/2026 13:15:54,695
Srv_Deploy_3,1108,finished,FAILURE,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4108,27/08/2026 13:06:36,27/08/2026 13:13:19,403
Srv_Deploy_4,1109,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4109,27/08/2026 13:08:53,27/08/2026 13:23:27,874
Srv_Deploy_5,1110,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4110,27/08/2026 13:11:10,27/08/2026 13:24:19,789
Srv_Deploy_6,1111,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4111,27/08/2026 13:13:27,27/08/2026 13:22:35,548
Srv_Deploy_0,1112,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4112,27/08/2026 13:15:44,27/08/2026 13:28:22,758
Srv_Deploy_1,1113,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4113,27/08/2026 13:18:01,27/08/2026 13:22:07,246
Srv_Deploy_2,1114,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4114,27/08/2026 13:20:18,27/08/2026 13:25:08,290
Srv_Deploy_3,1115,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4115,27/08/2026 13:22:35,27/08/2026 13:31:21,526
Srv_Deploy_4,1116,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4116,27/08/2026 13:24:52,27/08/2026 13:37:50,778
Srv_Deploy_5,1117,finished,FAILURE,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4117,27/08/2026 13:27:09,27/08/2026 13:34:48,459
Srv_Deploy_6,1118,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4118,27/08/2026 13:29:26,27/08/2026 13:42:32,786
Srv_Deploy_0,1119,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4119,27/08/2026 13:31:43,27/08/2026 13:42:41,658
Srv_Deploy_1,1120,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4120,27/08/2026 13:34:00,27/08/2026 13:46:02,722
Srv_Deploy_2,1121,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4121,27/08/2026 13:36:17,27/08/2026 13:51:15,898
Srv_Deploy_3,1122,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4122,27/08/2026 13:38:34,27/08/2026 13:41:15,161
Srv_Deploy_4,1123,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4123,27/08/2026 13:40:51,27/08/2026 13:50:45,594
Srv_Deploy_5,1124,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4124,27/08/2026 13:43:08,27/08/2026 13:47:01,233
Srv_Deploy_6,1125,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4125,27/08/2026 13:45:25,27/08/2026 13:52:17,412
Srv_Deploy_0,1126,finished,FAILURE,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4126,27/08/2026 13:47:42,27/08/2026 13:53:14,332
Srv_Deploy_1,1127,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4127,27/08/2026 13:49:59,27/08/2026 13:51:16,77
Srv_Deploy_2,1128,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4128,27/08/2026 13:52:16,27/08/2026 13:57:41,325
Srv_Deploy_3,1129,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4129,27/08/2026 13:54:33,27/08/2026 14:03:09,516
Srv_Deploy_4,1130,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4130,27/08/2026 13:56:50,27/08/2026 14:10:20,810
Srv_Deploy_5,1131,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4131,27/08/2026 13:59:07,27/08/2026 14:05:04,357
Srv_Deploy_6,1132,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4132,27/08/2026 14:01:24,27/08/2026 14:11:10,586
Srv_Deploy_0,1133,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4133,27/08/2026 14:03:41,27/08/2026 14:08:54,313
Srv_Deploy_1,1134,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4134,27/08/2026 14:05:58,27/08/2026 14:19:44,826
Srv_Deploy_2,1135,finished,FAILURE,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4135,27/08/2026 14:08:15,27/08/2026 14:22:24,849
Srv_Deploy_3,1136,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4136,27/08/2026 14:10:32,27/08/2026 14:15:31,299
Srv_Deploy_4,1137,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4137,27/08/2026 14:12:49,27/08/2026 14:21:39,530
Srv_Deploy_5,1138,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4138,27/08/2026 14:15:06,27/08/2026 14:28:03,777
Srv_Deploy_6,1139,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4139,27/08/2026 14:17:23,27/08/2026 14:32:21,898
Srv_Deploy_0,1140,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4140,27/08/2026 14:19:40,27/08/2026 14:32:05,745
Srv_Deploy_1,1141,finished,SUCCESS,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4141,27/08/2026 14:21:57,27/08/2026 14:35:31,814
Srv_Deploy_2,1142,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4142,27/08/2026 14:24:14,27/08/2026 14:28:00,226
Srv_Deploy_3,1143,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4143,27/08/2026 14:26:31,27/08/2026 14:33:34,423
Srv_Deploy_4,1144,finished,FAILURE,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4144,27/08/2026 14:28:48,27/08/2026 14:30:40,112
Srv_Deploy_5,1145,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4145,27/08/2026 14:31:05,27/08/2026 14:46:02,897
Srv_Deploy_6,1146,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4146,27/08/2026 14:33:22,27/08/2026 14:43:11,589
Srv_Deploy_0,1147,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4147,27/08/2026 14:35:39,27/08/2026 14:38:11,152
Srv_Deploy_1,1148,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4148,27/08/2026 14:37:56,27/08/2026 14:50:00,724
Srv_Deploy_2,1149,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4149,27/08/2026 14:40:13,27/08/2026 14:42:26,133
Srv_Deploy_3,1150,finished,SUCCESS,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4150,27/08/2026 14:42:30,27/08/2026 14:54:00,690
Srv_Deploy_4,1151,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4151,27/08/2026 14:44:47,27/08/2026 14:55:51,664
Srv_Deploy_5,1152,finished,SUCCESS,Success,main,agent-08,scheduler,,Payments,PatchServers,job-4152,27/08/2026 14:47:04,27/08/2026 14:54:15,431
Srv_Deploy_6,1153,finished,FAILURE,Success,main,agent-09,scheduler,,ServerOps,DeployUpdate,job-4153,27/08/2026 14:49:21,27/08/2026 14:52:42,201
Srv_Deploy_0,1154,finished,SUCCESS,Success,main,agent-10,scheduler,,Platform,RunMigrations,job-4154,27/08/2026 14:51:38,27/08/2026 15:00:29,531
Srv_Deploy_1,1155,finished,SUCCESS,Success,main,agent-11,scheduler,,Payments,PatchServers,job-4155,27/08/2026 14:53:55,27/08/2026 15:04:49,654
Srv_Deploy_2,1156,finished,SUCCESS,Success,main,agent-00,scheduler,,ServerOps,DeployUpdate,job-4156,27/08/2026 14:56:12,27/08/2026 15:03:03,411
Srv_Deploy_3,1157,finished,SUCCESS,Success,main,agent-01,scheduler,,Platform,RunMigrations,job-4157,27/08/2026 14:58:29,27/08/2026 15:05:50,441
Srv_Deploy_4,1158,finished,SUCCESS,Success,main,agent-02,scheduler,,Payments,PatchServers,job-4158,27/08/2026 15:00:46,27/08/2026 15:11:25,639
Srv_Deploy_5,1159,finished,SUCCESS,Success,main,agent-03,scheduler,,ServerOps,DeployUpdate,job-4159,27/08/2026 15:03:03,27/08/2026 15:12:11,548
Srv_Deploy_6,1160,finished,SUCCESS,Success,main,agent-04,scheduler,,Platform,RunMigrations,job-4160,27/08/2026 15:05:20,27/08/2026 15:13:35,495
Srv_Deploy_0,1161,finished,SUCCESS,Success,main,agent-05,scheduler,,Payments,PatchServers,job-4161,27/08/2026 15:07:37,27/08/2026 15:12:34,297
Srv_Deploy_1,1162,finished,FAILURE,Success,main,agent-06,scheduler,,ServerOps,DeployUpdate,job-4162,27/08/2026 15:09:54,27/08/2026 15:17:24,450
Srv_Deploy_2,1163,finished,SUCCESS,Success,main,agent-07,scheduler,,Platform,RunMigrations,job-4163,27/08/2026 15:12:11,27/08/2026 15:19:07,416
