accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
,Partial,Bond Trading,ice,,2040.16,Rejected,HSBC,JP,CP0084,Institution,2024-10-26T17:24:31,JPY,,,DEAL00000017,,Prop Trading,,NYSE,EXT89751026,92.06,,INST002400,C Future,Future,True,US3396348346,2024-10-27T01:24:31,,6587577.08,,,P00000017,BondTrading-10,2462.7001,Citigroup,Future,2674,6589709.3,2024-10-28,Settled,sell,pending,Directional,C,2024-10-26,Trader005,T0040,2024-10-28,,Voice,
,Pending,Derivatives,ice,,7711.16,Unconfirmed,Nomura,CA,CP0069,Institution,2025-07-14T17:24:31,JPY,,,DEAL00000018,,Electronic,,NYSE,EXT68879319,167.9,,INST006552,TSLA Commodity,Commodity,True,US6268709294,2025-07-15T09:24:31,,7515867.61,,,P00000018,Derivatives-4,250.2216,,Commodity,30036,7523746.67,2025-07-17,Failed,buy,cancelled,Relative Value,TSLA,2025-07-14,Trader042,T0028,2025-07-17,,Electronic,
,Partial,Prime Brokerage,eurex,,5013.44,Confirmed,RBC Capital,FR,CP0098,Broker,2025-03-29T17:24:31,USD,,,DEAL00000019,,Structured,,NYSE,EXT04531928,488.14,,INST005582,GOOGL Commodity,Commodity,False,,2025-03-30T10:24:31,,5863966.14,,,P00000019,PrimeBrokerage-4,357.5707,,Commodity,16399,5869467.72,2025-04-01,Pending,buy,pending,Hedging,GOOGL,2025-03-29,Trader026,T0019,2025-04-01,,Voice,
6645.15,Pending,Emerging Markets,ice,,16599.11,Confirmed,BNP Paribas,SG,CP0051,Broker,2024-08-28T17:24:31,AUD,,6635.12,DEAL00000020,,Delta One,2.91,NASDAQ,,219.78,,INST006353,JPM Bond,Bond,True,US8154455214,2024-08-29T13:24:31,,8357669.89,7298.63,,P00000020,EmergingMarkets-6,612.9833,,Bond,13634,8374488.78,2024-09-02,Unsettled,sell,cancelled,Relative Value,JPM,2024-08-28,Trader002,T0015,2024-09-02,,Electronic,0.0941
525.55,Allocated,Emerging Markets,lch,Trade 21 - Special handling required,7984.46,Pending,RBC Capital,SG,CP0014,Broker,2025-02-17T17:24:31,EUR,,6767.39,DEAL00000021,,Exotics,7.5,NYSE,,655.27,,INST005671,NVDA Bond,Bond,False,US2847317662,2025-02-18T11:24:31,,8294924.26,7444.13,,P00000021,EmergingMarkets-4,4170.993,Bank of America,Bond,1988,8303563.99,2025-02-18,Pending,buy,partial,Relative Value,NVDA,2025-02-17,Trader040,T0035,2025-02-18,,Electronic,0.0872
,Partial,Futures Trading,cme,,982.43,Confirmed,Nomura,UK,CP0031,Broker,2024-10-08T17:24:31,GBP,,,DEAL00000022,,Structured,,NYSE,,107.66,,INST006563,MSFT Forward,Forward,True,US3174273113,2024-10-08T18:24:31,2026-08-21,3734727.25,,PARENT000394,P00000022,FuturesTrading-1,1550.6224,,Forward,2408,3735817.34,2024-10-10,Unsettled,buy,pending,Event Driven,MSFT,2024-10-08,Trader011,T0010,2024-10-10,,Voice,
,Pending,Equity Trading,jscc,,7781.37,Unconfirmed,Morgan Stanley,US,CP0049,Broker,2024-09-02T17:24:31,AUD,,,DEAL00000023,,Exotics,,NYSE,EXT56846597,146.0,,INST002364,BP FX Forward,FX Forward,True,,2024-09-03T15:24:31,,8476302.97,,,P00000023,EquityTrading-5,4260.2234,,FX Forward,1989,8484230.34,2024-09-07,Pending,sell,partial,Arbitrage,BP,2024-09-02,Trader026,T0015,2024-09-07,,Voice,
,Partial,FX Trading,cme,,1656.62,Unconfirmed,Goldman Sachs,SG,CP0076,Institution,2024-08-17T17:24:31,AUD,,,DEAL00000024,,Market Making,,NYSE,EXT28987327,87.94,,INST003909,BP ETF,ETF,True,US8191288272,2024-08-18T10:24:31,,2951888.78,,,P00000024,FXTrading-7,3.4911,,ETF,845546,2953633.34,2024-08-20,Settled,buy,completed,Momentum,BP,2024-08-17,Trader042,T0026,2024-08-20,,Electronic,
,Pending,Commodities,jscc,Trade 25 - Special handling required,8043.64,Rejected,Citigroup,US,CP0050,Broker,2024-10-01T17:24:31,GBP,,,DEAL00000025,,Electronic,,NYSE,EXT93779183,79.38,,INST003548,AAPL Index,Index,True,US7322593786,2024-10-02T15:24:31,,5506242.15,,,P00000025,Commodities-3,4373.1269,Goldman Sachs,Index,1259,5514365.17,2024-10-04,Unsettled,buy,partial,Mean Reversion,AAPL,2024-10-01,Trader037,T0045,2024-10-04,,Electronic,
,Unallocated,Equity Trading,cme,,681.97,Confirmed,Morgan Stanley,CA,CP0085,Institution,2024-10-15T17:24:31,AUD,424145066,,DEAL00000026,,Market Making,,NYSE,EXT92062795,54.55,,INST008453,MRK FX Spot,FX Spot,False,US4629444405,2024-10-16T16:24:31,,3095683.59,,,P00000026,EquityTrading-10,2593.8756,Jefferies,FX Spot,1193,3096420.11,2024-10-19,Pending,buy,failed,Arbitrage,MRK,2024-10-15,Trader035,T0033,2024-10-19,,Voice,
,Partial,Structured Products,jscc,,9622.57,Rejected,Mizuho,AU,CP0098,Broker,2024-08-20T17:24:31,CHF,,,DEAL00000027,,Prop Trading,,NYSE,EXT33348363,269.73,,INST006861,WFC Index,Index,True,US9995731133,2024-08-20T23:24:31,2030-05-21,5231239.75,,PARENT000580,P00000027,StructuredProducts-2,3424.5801,HSBC,Index,1527,5241132.05,2024-08-24,Failed,sell,partial,Hedging,WFC,2024-08-20,Trader014,T0036,2024-08-24,,Electronic,
,Partial,Futures Trading,jscc,,6705.02,Pending,Credit Suisse,CA,CP0052,Institution,2024-12-24T17:24:31,USD,112124480,,DEAL00000028,,Flow Trading,,NYSE,EXT07124100,369.8,,INST009113,GS FX Forward,FX Forward,True,US2562202453,2024-12-25T00:24:31,,4932608.04,,,P00000028,FuturesTrading-3,1153.1104,,FX Forward,4277,4939682.86,2024-12-25,Settled,sell,cancelled,Market Making,GS,2024-12-24,Trader047,T0021,2024-12-25,,Voice,
,Unallocated,Bond Trading,dtcc,,4584.06,Pending,Barclays,AU,CP0068,Institution,2024-11-21T17:24:31,USD,,,DEAL00000029,,Exotics,,NYSE,EXT53077223,791.84,,INST008559,GS FX Spot,FX Spot,True,US9575949409,2024-11-22T11:24:31,,8869420.04,,,P00000029,BondTrading-4,91.6775,,FX Spot,96745,8874795.94,2024-11-24,Pending,sell,failed,Event Driven,GS,2024-11-21,Trader029,T0021,2024-11-24,,Voice,
,Allocated,Equity Trading,cme,,1502.48,Pending,Goldman Sachs,AU,CP0031,Broker,2024-09-04T17:24:31,AUD,117355194,,DEAL00000030,,Arbitrage,,NYSE,EXT63779543,74.93,,INST009843,XOM FX Forward,FX Forward,True,US5679594284,2024-09-05T15:24:31,,765279.34,,,P00000030,EquityTrading-10,913.4681,JP Morgan,FX Forward,837,766856.75,2024-09-07,Settled,buy,cancelled,Arbitrage,XOM,2024-09-04,Trader035,T0022,2024-09-07,,Voice,
,Pending,Bond Trading,lch,Trade 31 - Special handling required,1466.16,Unconfirmed,Citigroup,CH,CP0082,Broker,2025-05-08T17:24:31,EUR,,,DEAL00000031,,Structured,,NYSE,EXT07745805,177.01,,INST002531,NVDA Index,Index,True,US8052658549,2025-05-09T15:24:31,,3133826.52,,,P00000031,BondTrading-3,3951.2213,,Index,793,3135469.69,2025-05-09,Settled,buy,failed,Hedging,NVDA,2025-05-08,Trader034,T0012,2025-05-09,,Voice,
,Partial,Credit Trading,lch,,7470.22,Rejected,Bank of America,CH,CP0002,Broker,2024-09-26T17:24:31,AUD,,,DEAL00000032,,Market Making,,NYSE,EXT47851124,296.82,,INST005603,AMZN FX Forward,FX Forward,False,US5923601554,2024-09-27T17:24:31,2028-01-15,3884432.41,,,P00000032,CreditTrading-5,1720.8811,Barclays,FX Forward,2257,3892199.45,2024-09-29,Unsettled,sell,cancelled,Relative Value,AMZN,2024-09-26,Trader031,T0025,2024-09-29,,Voice,
,Partial,Derivatives,lch,,2032.65,Unconfirmed,UBS,AU,CP0051,Institution,2025-03-24T17:24:31,AUD,,,DEAL00000033,,Flow Trading,,NYSE,EXT64799132,183.97,,INST004696,UNH FX Forward,FX Forward,True,US4260494693,2025-03-25T16:24:31,,3504942.89,,PARENT000880,P00000033,Derivatives-2,4423.1841,Citigroup,FX Forward,792,3507159.51,2025-03-29,Settled,buy,cancelled,Arbitrage,UNH,2025-03-24,Trader040,T0026,2025-03-29,,Electronic,
,Allocated,ETF Trading,cme,,1450.88,Pending,Jefferies,UK,CP0020,Institution,2024-12-25T17:24:31,JPY,324756044,5233.62,DEAL00000034,,Exotics,,NYSE,,264.44,,INST004599,MS Swap,Swap,True,US2275495504,2024-12-26T01:24:31,2027-03-29,3125313.21,5756.98,,P00000034,ETFTrading-6,2553.2712,Barclays,Swap,1224,3127028.53,2024-12-29,Settled,sell,partial,Event Driven,MS,2024-12-25,Trader013,T0013,2024-12-29,,Voice,
,Allocated,Commodities,ice,,1830.65,Unconfirmed,Jefferies,FR,CP0011,Institution,2025-04-24T17:24:31,GBP,926907111,,DEAL00000035,,Structured,,NASDAQ,EXT20131613,78.56,,INST007829,NVDA FX Spot,FX Spot,False,US7985192529,2025-04-24T21:24:31,2031-12-08,1046881.82,,,P00000035,Commodities-4,2728.7105,,FX Spot,383,1048791.03,2025-04-27,Settled,sell,partial,Directional,NVDA,2025-04-24,Trader021,T0039,2025-04-27,,Electronic,
,Partial,Emerging Markets,lch,,4075.42,Unconfirmed,Jefferies,CA,CP0048,Institution,2025-07-03T17:24:31,JPY,,,DEAL00000036,,Exotics,,NASDAQ,EXT46956754,104.13,,INST004598,MS Commodity,Commodity,False,US8364203028,2025-07-04T13:24:31,,7033632.87,,,P00000036,EmergingMarkets-5,2930.1685,,Commodity,2400,7037812.42,2025-07-06,Failed,sell,cancelled,Event Driven,MS,2025-07-03,Trader050,T0034,2025-07-06,,Electronic,
,Allocated,Futures Trading,lch,,3340.48,Confirmed,Deutsche Bank,SG,CP0097,Broker,2025-04-07T17:24:31,AUD,,,DEAL00000037,,Flow Trading,,NYSE,EXT87163177,131.09,,INST000212,JPM Future,Future,False,US6806724427,2025-04-08T07:24:31,,2380438.24,,,P00000037,FuturesTrading-2,3166.9846,,Future,751,2383909.81,2025-04-12,Pending,sell,pending,Directional,JPM,2025-04-07,Trader031,T0003,2025-04-12,,Electronic,
,Allocated,Structured Products,eurex,,12188.36,Confirmed,HSBC,SG,CP0011,Broker,2025-05-20T17:24:31,CHF,100112330,,DEAL00000038,,Flow Trading,,NYSE,EXT29212245,422.37,,INST000635,TSLA FX Spot,FX Spot,True,US6172311806,2025-05-21T11:24:31,2028-01-01,9516788.89,,,P00000038,StructuredProducts-6,3423.6759,,FX Spot,2779,9529399.62,2025-05-24,Pending,buy,completed,Directional,TSLA,2025-05-20,Trader018,T0040,2025-05-24,,Voice,
,Unallocated,ETF Trading,ice,,8799.07,Pending,Morgan Stanley,CH,CP0099,Institution,2025-07-01T17:24:31,AUD,,,DEAL00000039,,Prop Trading,,NYSE,,82.71,,INST006538,MSFT FX Spot,FX Spot,True,US6416076050,2025-07-01T19:24:31,,7389408.22,,PARENT000682,P00000039,ETFTrading-5,1401.9389,BNP Paribas,FX Spot,5270,7398290.0,2025-07-02,Failed,buy,partial,Event Driven,MSFT,2025-07-01,Trader023,T0022,2025-07-02,,Electronic,
,Pending,Bond Trading,eurex,,2122.51,Confirmed,RBC Capital,JP,CP0036,Broker,2025-05-07T17:24:31,JPY,716563054,,DEAL00000040,-0.7054,Electronic,,NYSE,,622.52,0.015999,INST008013,PFE Option,Option,True,US1264483207,2025-05-08T16:24:31,2030-12-13,7573018.56,,PARENT000600,P00000040,BondTrading-6,2702.2314,,Option,2802,7575763.59,2025-05-10,Failed,sell,pending,Mean Reversion,PFE,2025-05-07,Trader006,T0031,2025-05-10,23.94,Electronic,
,Allocated,Derivatives,ice,Trade 41 - Special handling required,1002.02,Rejected,RBC Capital,FR,CP0018,Institution,2025-05-18T17:24:31,USD,,,DEAL00000041,,Prop Trading,,NYSE,,233.9,,INST002251,AAPL Commodity,Commodity,True,US4663304156,2025-05-18T23:24:31,2031-09-11,9809089.05,,,P00000041,Derivatives-1,4472.6008,,Commodity,2193,9810324.97,2025-05-19,Settled,buy,pending,Arbitrage,AAPL,2025-05-18,Trader001,T0029,2025-05-19,,Electronic,
,Unallocated,Prime Brokerage,cme,,2344.91,Rejected,Nomura,CA,CP0097,Institution,2025-08-04T17:24:31,CHF,939135735,,DEAL00000042,,Delta One,,NYSE,EXT10335922,598.55,,INST002337,WFC Index,Index,True,US8185377912,2025-08-05T03:24:31,2033-10-13,9154900.6,,PARENT000150,P00000042,PrimeBrokerage-1,466.3376,Mizuho,Index,19631,9157844.06,2025-08-06,Failed,buy,partial,Momentum,WFC,2025-08-04,Trader043,T0023,2025-08-06,,Electronic,
8503.37,Partial,Commodities,dtcc,,9902.14,Unconfirmed,Jefferies,US,CP0019,Institution,2025-01-15T17:24:31,USD,230598554,1996.81,DEAL00000043,,Prop Trading,5.9,NASDAQ,,82.24,,INST006447,JPM Bond,Bond,False,US8853537349,2025-01-16T10:24:31,,7193291.74,2196.49,,P00000043,Commodities-9,133.2287,Credit Suisse,Bond,53992,7203276.12,2025-01-16,Unsettled,buy,cancelled,Event Driven,JPM,2025-01-15,Trader019,T0032,2025-01-16,,Voice,0.0185
,Unallocated,Structured Products,ice,,2949.05,Unconfirmed,Barclays,US,CP0005,Broker,2025-06-18T17:24:31,CAD,,,DEAL00000044,,Delta One,,NASDAQ,EXT86892676,344.48,,INST001973,MS Forward,Forward,True,US6110333152,2025-06-19T08:24:31,2032-02-20,8713161.73,,PARENT000829,P00000044,StructuredProducts-9,903.2878,Goldman Sachs,Forward,9646,8716455.26,2025-06-21,Settled,buy,partial,Mean Reversion,MS,2025-06-18,Trader013,T0009,2025-06-21,,Electronic,
,Pending,Credit Trading,cme,,1422.09,Pending,UBS,AU,CP0013,Institution,2024-10-31T17:24:31,GBP,,2314.0,DEAL00000045,,Arbitrage,,NYSE,EXT08254934,525.21,,INST006933,GS Swap,Swap,True,US6965482316,2024-11-01T03:24:31,2034-06-01,8562029.96,2545.4,PARENT000918,P00000045,CreditTrading-4,1842.8414,,Swap,4646,8563977.26,2024-11-02,Settled,sell,failed,Event Driven,GS,2024-10-31,Trader005,T0034,2024-11-02,,Electronic,
,Pending,Futures Trading,eurex,,5933.88,Rejected,Nomura,SG,CP0066,Institution,2024-10-13T17:24:31,EUR,483165058,,DEAL00000046,,Prop Trading,,NYSE,EXT64401928,251.14,,INST007315,CVX FX Forward,FX Forward,False,US4549878251,2024-10-13T22:24:31,,6253260.77,,,P00000046,FuturesTrading-4,2447.007,,FX Forward,2555,6259445.79,2024-10-18,Failed,buy,partial,Momentum,CVX,2024-10-13,Trader046,T0039,2024-10-18,,Electronic,
,Unallocated,Options Trading,eurex,,16078.02,Confirmed,Nomura,JP,CP0094,Broker,2025-05-10T17:24:31,AUD,,,DEAL00000047,,Flow Trading,,NASDAQ,EXT34629071,505.47,,INST000665,MS ETF,ETF,True,US7058768913,2025-05-10T22:24:31,,8370562.96,,,P00000047,OptionsTrading-7,1460.0758,UBS,ETF,5732,8387146.45,2025-05-11,Settled,sell,cancelled,Relative Value,MS,2025-05-10,Trader014,T0041,2025-05-11,,Electronic,
,Unallocated,Options Trading,jscc,,7866.57,Unconfirmed,Mizuho,DE,CP0014,Institution,2025-01-05T17:24:31,USD,852019239,,DEAL00000048,0.4271,Prop Trading,,NYSE,EXT68129236,52.07,0.062227,INST000950,XOM Option,Option,True,US7703273252,2025-01-06T00:24:31,,4041519.29,,,P00000048,OptionsTrading-3,1517.8567,,Option,2662,4049437.93,2025-01-09,Settled,sell,completed,Market Making,XOM,2025-01-05,Trader007,T0041,2025-01-09,1.23,Voice,
7673.42,Partial,Derivatives,lch,Trade 49 - Special handling required,6040.38,Pending,Citigroup,HK,CP0075,Institution,2024-09-15T17:24:31,USD,,3974.88,DEAL00000049,,Structured,27.89,NYSE,EXT57115672,275.33,,INST001688,BAC Bond,Bond,True,US8120523675,2024-09-16T06:24:31,,9605443.3,4372.37,,P00000049,Derivatives-5,2901.3389,Mizuho,Bond,3310,9611759.01,2024-09-19,Failed,buy,completed,Momentum,BAC,2024-09-15,Trader019,T0012,2024-09-19,,Voice,0.0937
,Unallocated,Structured Products,jscc,,13595.27,Unconfirmed,Credit Suisse,HK,CP0039,Institution,2024-09-11T17:24:31,AUD,,,DEAL00000050,,Structured,,NYSE,EXT55808782,341.01,,INST003100,BP Index,Index,False,US5347058294,2024-09-11T19:24:31,,8246579.9,,,P00000050,StructuredProducts-3,1650.9347,,Index,4995,8260516.18,2024-09-13,Unsettled,sell,pending,Directional,BP,2024-09-11,Trader003,T0036,2024-09-13,,Voice,
,Allocated,Emerging Markets,lch,,3572.64,Unconfirmed,Deutsche Bank,UK,CP0058,Broker,2025-03-25T17:24:31,CAD,930581311,,DEAL00000051,,Arbitrage,,NYSE,,110.57,,INST005703,GOOGL Future,Future,False,US3719262724,2025-03-26T07:24:31,2027-02-13,2299614.41,,,P00000051,EmergingMarkets-4,757.4813,RBC Capital,Future,3035,2303297.62,2025-03-30,Unsettled,buy,partial,Arbitrage,GOOGL,2025-03-25,Trader007,T0008,2025-03-30,,Voice,
,Partial,Structured Products,lch,,9594.64,Pending,Nomura,FR,CP0089,Broker,2024-10-03T17:24:31,CHF,834737369,,DEAL00000052,,Prop Trading,,NASDAQ,EXT53333730,283.83,,INST003742,AAPL FX Forward,FX Forward,True,US9658157802,2024-10-04T08:24:31,,6639933.98,,,P00000052,StructuredProducts-7,92.8064,,FX Forward,71546,6649812.45,2024-10-08,Settled,sell,cancelled,Hedging,AAPL,2024-10-03,Trader013,T0009,2024-10-08,,Voice,
,Pending,Derivatives,dtcc,,4586.75,Rejected,Nomura,FR,CP0047,Institution,2025-01-25T17:24:31,CHF,,,DEAL00000053,,Delta One,,NYSE,EXT98925508,390.0,,INST008917,SHEL Forward,Forward,False,US5926772489,2025-01-26T01:24:31,,4116345.31,,PARENT000147,P00000053,Derivatives-10,3659.6776,,Forward,1124,4121322.06,2025-01-30,Failed,sell,failed,Momentum,SHEL,2025-01-25,Trader010,T0016,2025-01-30,,Electronic,
,Unallocated,Equity Trading,lch,,3708.69,Unconfirmed,Barclays,JP,CP0027,Institution,2025-01-01T17:24:31,EUR,,,DEAL00000054,,Exotics,,NASDAQ,,250.85,,INST007136,PFE Equity,Equity,True,US3082155882,2025-01-01T18:24:31,,2660871.81,,,P00000054,EquityTrading-4,3898.6153,,Equity,682,2664831.35,2025-01-06,Unsettled,buy,partial,Relative Value,PFE,2025-01-01,Trader033,T0010,2025-01-06,,Electronic,
