accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
1591.45,Partial,Equity Trading,cme,,3751.19,Rejected,Jefferies,SG,CP0067,Broker,2025-06-09T17:47:15,GBP,,6320.47,DEAL00005986,,Prop Trading,19.18,NYSE,,265.37,,INST009682,TSLA Bond,Bond,true,US3613859232,2025-06-10T02:47:15,,8177617.42,6952.52,,P00005986,EquityTrading-7,2657.7701,Credit Suisse,Bond,3076,8181633.98,2025-06-12,Unsettled,buy,pending,Event Driven,TSLA,2025-06-09,Trader047,T0047,2025-06-12,,Electronic,0.0816
,Partial,Equity Trading,lch,,3758.38,Unconfirmed,UBS,CA,CP0054,Institution,2025-07-20T17:47:15,USD,,,DEAL00006515,,Flow Trading,,NASDAQ,EXT14114851,191.84,,INST009651,GS ETF,ETF,false,,2025-07-21T09:47:15,,2376620.13,,,P00006515,EquityTrading-1,3959.0673,,ETF,600,2380570.35,2025-07-24,Settled,sell,cancelled,Arbitrage,GS,2025-07-20,Trader016,T0027,2025-07-24,,Voice,
,Pending,Equity Trading,jscc,,3817.89,Pending,Nomura,JP,CP0018,Broker,2025-06-03T17:47:15,CHF,,,DEAL00007638,,Arbitrage,,NYSE,EXT01085123,73.18,,INST000633,SHEL FX Forward,FX Forward,false,US3548283873,2025-06-04T06:47:15,2026-12-26,2985845.05,,,P00007638,EquityTrading-10,2695.6864,Barclays,FX Forward,1107,2989736.12,2025-06-06,Failed,sell,completed,Market Making,SHEL,2025-06-03,Trader048,T0033,2025-06-06,,Electronic,
,Allocated,Equity Trading,jscc,,3837.97,Pending,Mizuho,DE,CP0009,Broker,2025-06-08T17:47:15,JPY,689746874,,DEAL00008875,,Prop Trading,,NYSE,,49.87,,INST007251,BAC FX Forward,FX Forward,false,US4764844317,2025-06-08T23:47:15,,2951205.71,,,P00008875,EquityTrading-1,148.7243,Bank of America,FX Forward,19843,2955093.55,2025-06-09,Pending,buy,failed,Hedging,BAC,2025-06-08,Trader048,T0016,2025-06-09,,Electronic,
5261.55,Unallocated,Equity Trading,cme,,3919.05,Pending,Mizuho,HK,CP0044,Broker,2025-07-09T17:47:15,AUD,,9896.37,DEAL00006737,,Exotics,25.3,NYSE,EXT86902960,422.72,,INST006901,TTE Bond,Bond,false,US3961260303,2025-07-10T02:47:15,,5256819.94,10886.01,,P00006737,EquityTrading-7,2354.1087,,Bond,2233,5261161.71,2025-07-14,Unsettled,sell,failed,Market Making,TTE,2025-07-09,Trader006,T0017,2025-07-14,,Electronic,0.0493
,Unallocated,Equity Trading,jscc,,3925.24,Unconfirmed,Mizuho,UK,CP0027,Institution,2025-07-20T17:47:15,CAD,376490327,,DEAL00009303,,Market Making,,NYSE,EXT16453831,563.42,,INST003361,MSFT CDS,CDS,false,US1586485479,2025-07-20T18:47:15,,9213353.35,,PARENT000252,P00009303,EquityTrading-4,1306.6222,,CDS,7051,9217842.01,2025-07-23,Settled,sell,cancelled,Momentum,MSFT,2025-07-20,Trader001,T0049,2025-07-23,,Electronic,
,Allocated,Equity Trading,lch,,3965.66,Rejected,HSBC,DE,CP0016,Broker,2025-07-26T17:47:15,CHF,,,DEAL00000202,,Flow Trading,,NASDAQ,,196.65,,INST007582,BAC Index,Index,true,US8973627626,2025-07-27T09:47:15,,8483854.7,,PARENT000930,P00000202,EquityTrading-5,4456.0405,Goldman Sachs,Index,1903,8488017.01,2025-07-28,Settled,sell,partial,Relative Value,BAC,2025-07-26,Trader021,T0006,2025-07-28,,Voice,
,Pending,Equity Trading,dtcc,,3998.05,Pending,Citigroup,UK,CP0051,Institution,2025-07-31T17:47:15,EUR,,,DEAL00002920,,Arbitrage,,NYSE,EXT88810597,546.78,,INST000587,BP FX Forward,FX Forward,true,US7128510806,2025-07-31T20:47:15,2032-11-30,7081870.77,,,P00002920,EquityTrading-3,890.8401,,FX Forward,7949,7086415.6,2025-08-02,Unsettled,sell,failed,Mean Reversion,BP,2025-07-31,Trader036,T0007,2025-08-02,,Electronic,
,Allocated,Equity Trading,eurex,,4009.45,Confirmed,Barclays,FR,CP0062,Institution,2025-07-22T17:47:15,CHF,,,DEAL00006756,,Flow Trading,,NYSE,EXT84241762,495.39,,INST000087,C Equity,Equity,true,US4789420025,2025-07-23T16:47:15,2028-04-09,7939478.28,,,P00006756,EquityTrading-3,4469.5837,Credit Suisse,Equity,1776,7943983.12,2025-07-27,Pending,buy,cancelled,Arbitrage,C,2025-07-22,Trader049,T0037,2025-07-27,,Voice,
6255.58,Allocated,Equity Trading,dtcc,,4015.5,Pending,Citigroup,UK,CP0093,Institution,2025-08-03T17:47:15,AUD,,8810.3,DEAL00003949,,Arbitrage,13.44,NASDAQ,EXT33539340,125.01,,INST001505,UNH Bond,Bond,true,US2176057022,2025-08-04T15:47:15,2028-05-22,2682953.53,9691.33,PARENT000092,P00003949,EquityTrading-2,2728.0456,Deutsche Bank,Bond,983,2687094.04,2025-08-04,Unsettled,sell,completed,Relative Value,UNH,2025-08-03,Trader033,T0032,2025-08-04,,Voice,0.0812
,Partial,Equity Trading,jscc,,4072.9,Rejected,UBS,US,CP0001,Institution,2025-07-16T17:47:15,CHF,797639221,,DEAL00008869,0.3787,Flow Trading,,NYSE,EXT55628460,581.38,0.016527,INST008791,JNJ Option,Option,true,US6978123496,2025-07-16T20:47:15,,7836876.2,,,P00008869,EquityTrading-8,4665.766,,Option,1679,7841530.48,2025-07-18,Failed,buy,cancelled,Relative Value,JNJ,2025-07-16,Trader029,T0027,2025-07-18,70.75,Voice,
,Partial,Equity Trading,lch,,4219.99,Confirmed,Morgan Stanley,HK,CP0016,Institution,2025-06-01T17:47:15,CHF,227979732,2473.3,DEAL00001878,,Prop Trading,,NYSE,EXT41766870,565.73,,INST002032,GOOGL Swap,Swap,false,US5943105798,2025-06-02T06:47:15,2029-05-16,9157112.58,2720.63,,P00001878,EquityTrading-1,341.5951,Deutsche Bank,Swap,26806,9161898.3,2025-06-02,Pending,buy,partial,Arbitrage,GOOGL,2025-06-01,Trader043,T0009,2025-06-02,,Voice,
918.22,Allocated,Equity Trading,cme,,4270.85,Confirmed,Jefferies,CH,CP0075,Broker,2025-08-03T17:47:15,GBP,,568.61,DEAL00008008,,Exotics,15.9,NASDAQ,EXT94468188,239.0,,INST003542,NVDA Bond,Bond,true,US7708337174,2025-08-04T13:47:15,,2642528.87,625.47,,P00008008,EquityTrading-3,4703.3185,Mizuho,Bond,561,2647038.72,2025-08-08,Failed,buy,completed,Directional,NVDA,2025-08-03,Trader043,T0007,2025-08-08,,Voice,0.0422
,Unallocated,Equity Trading,jscc,,4319.66,Confirmed,HSBC,AU,CP0060,Institution,2025-06-15T17:47:15,USD,668563791,,DEAL00003303,,Delta One,,NYSE,EXT96180449,329.16,,INST001844,GS FX Forward,FX Forward,true,US8261993881,2025-06-16T03:47:15,,3742667.67,,,P00003303,EquityTrading-10,949.2889,JP Morgan,FX Forward,3942,3747316.49,2025-06-20,Pending,sell,failed,Mean Reversion,GS,2025-06-15,Trader004,T0022,2025-06-20,,Voice,
,Unallocated,Equity Trading,lch,,4330.99,Pending,Barclays,FR,CP0042,Institution,2025-07-25T17:47:15,EUR,587449526,,DEAL00009388,,Structured,,NYSE,EXT92423347,131.19,,INST000181,BP ETF,ETF,true,US2511667805,2025-07-25T22:47:15,,8557920.41,,,P00009388,EquityTrading-6,181.1195,Deutsche Bank,ETF,47250,8562382.59,2025-07-27,Pending,buy,cancelled,Hedging,BP,2025-07-25,Trader029,T0022,2025-07-27,,Voice,
7730.0,Partial,Equity Trading,lch,,4391.29,Pending,RBC Capital,SG,CP0008,Broker,2025-07-07T17:47:15,GBP,,5516.53,DEAL00009200,,Arbitrage,0.62,NYSE,,203.86,,INST003678,HSBC Bond,Bond,false,,2025-07-08T00:47:15,,7511564.45,6068.18,,P00009200,EquityTrading-9,3294.5119,,Bond,2280,7516159.6,2025-07-10,Unsettled,sell,cancelled,Event Driven,HSBC,2025-07-07,Trader019,T0014,2025-07-10,,Voice,0.0469
,Partial,Equity Trading,cme,,4460.58,Rejected,Bank of America,UK,CP0085,Institution,2025-07-12T17:47:15,JPY,,1386.79,DEAL00002613,,Flow Trading,,NYSE,EXT59496855,54.98,,INST003790,MRK Swap,Swap,false,US9155223195,2025-07-12T20:47:15,,3683068.26,1525.47,,P00002613,EquityTrading-6,898.6936,,Swap,4098,3687583.82,2025-07-13,Settled,buy,completed,Relative Value,MRK,2025-07-12,Trader015,T0010,2025-07-13,,Voice,
,Allocated,Equity Trading,jscc,Trade 7147 - Special handling required,4542.27,Pending,Bank of America,FR,CP0063,Institution,2025-07-11T17:47:15,CHF,,,DEAL00007147,,Structured,,NYSE,EXT52844275,686.45,,INST002640,WFC FX Forward,FX Forward,false,US9391622453,2025-07-12T03:47:15,,9955821.59,,,P00007147,EquityTrading-5,2619.6615,,FX Forward,3800,9961050.31,2025-07-14,Pending,sell,cancelled,Arbitrage,WFC,2025-07-11,Trader005,T0021,2025-07-14,,Voice,
,Allocated,Equity Trading,cme,,4683.66,Unconfirmed,Mizuho,FR,CP0024,Broker,2025-07-30T17:47:15,USD,,,DEAL00000240,0.9635,Exotics,,NYSE,,342.51,0.046292,INST009651,HSBC Option,Option,true,US3471384626,2025-07-31T11:47:15,2031-05-15,6862500.18,,,P00000240,EquityTrading-4,814.3307,Credit Suisse,Option,8427,6867526.35,2025-08-04,Unsettled,sell,failed,Arbitrage,HSBC,2025-07-30,Trader039,T0020,2025-08-04,88.5,Electronic,
,Allocated,Equity Trading,cme,Trade 4809 - Special handling required,4693.91,Unconfirmed,Bank of America,US,CP0037,Institution,2025-06-06T17:47:15,JPY,,,DEAL00004809,,Delta One,,NASDAQ,EXT60717356,473.12,,INST004515,GOOGL CDS,CDS,true,US2300494916,2025-06-07T00:47:15,,6276407.16,,,P00004809,EquityTrading-8,3264.4462,,CDS,1922,6281574.19,2025-06-07,Settled,sell,partial,Hedging,GOOGL,2025-06-06,Trader002,T0037,2025-06-07,,Electronic,
,Allocated,Equity Trading,dtcc,,4855.3,Rejected,JP Morgan,CH,CP0084,Institution,2025-07-07T17:47:15,CHF,,,DEAL00001385,0.5111,Arbitrage,,NYSE,,686.11,0.047744,INST007031,AMZN Option,Option,true,US5205181452,2025-07-08T04:47:15,,9184660.84,,PARENT000422,P00001385,EquityTrading-4,4740.5006,,Option,1937,9190202.25,2025-07-10,Failed,sell,partial,Momentum,AMZN,2025-07-07,Trader007,T0034,2025-07-10,45.53,Electronic,
,Unallocated,Equity Trading,dtcc,Trade 454 - Special handling required,4867.25,Pending,Bank of America,DE,CP0059,Broker,2025-06-16T17:47:15,GBP,,,DEAL00000454,,Flow Trading,,NYSE,EXT15222785,343.08,,INST001612,AMZN Equity,Equity,true,US5012162408,2025-06-17T11:47:15,2029-04-28,8973227.77,,PARENT000991,P00000454,EquityTrading-2,2176.6708,,Equity,4122,8978438.1,2025-06-19,Pending,sell,failed,Hedging,AMZN,2025-06-16,Trader046,T0009,2025-06-19,,Voice,
,Unallocated,Equity Trading,lch,,4868.62,Rejected,RBC Capital,FR,CP0022,Institution,2025-08-01T17:47:15,CAD,205380450,,DEAL00000434,,Arbitrage,,NYSE,EXT85753400,252.05,,INST006117,GOOGL CDS,CDS,true,US2713615002,2025-08-02T07:47:15,,4057179.13,,,P00000434,EquityTrading-9,3851.4526,,CDS,1053,4062299.8,2025-08-02,Pending,sell,completed,Market Making,GOOGL,2025-08-01,Trader018,T0002,2025-08-02,,Voice,
,Unallocated,Equity Trading,ice,,4873.31,Pending,RBC Capital,AU,CP0013,Broker,2025-06-20T17:47:15,EUR,586159836,,DEAL00008593,-0.7957,Electronic,,NYSE,EXT82477965,699.65,0.012107,INST005634,WFC Option,Option,false,US5431332540,2025-06-21T14:47:15,,9041100.84,,,P00008593,EquityTrading-8,988.6808,,Option,9144,9046673.8,2025-06-21,Failed,sell,completed,Mean Reversion,WFC,2025-06-20,Trader023,T0004,2025-06-21,83.07,Voice,
,Allocated,Equity Trading,lch,,4996.75,Unconfirmed,Credit Suisse,SG,CP0028,Broker,2025-07-28T17:47:15,CAD,,,DEAL00005454,,Flow Trading,,NYSE,EXT39946594,646.94,,INST000319,JPM CDS,CDS,false,,2025-07-29T04:47:15,2032-06-25,7302544.27,,,P00005454,EquityTrading-7,34.9494,Morgan Stanley,CDS,208946,7308187.96,2025-07-31,Failed,buy,completed,Market Making,JPM,2025-07-28,Trader030,T0037,2025-07-31,,Electronic,
