accruedInterest,allocationStatus,book,clearingHouse,comments,commission,confirmationStatus,counterparty,counterpartyCountry,counterpartyId,counterpartyType,createdDate,currency,cusip,dV01,dealId,delta,desk,duration,exchange,externalOrderId,fees,gamma,instrumentId,instrumentName,instrumentType,isElectronic,isin,lastModifiedDate,maturityDate,notional,pV01,parentOrderId,platformOrderId,portfolio,price,prime,productType,quantity,settlementAmount,settlementDate,settlementStatus,side,status,strategy,ticker,tradeDate,trader,traderId,valueDate,vega,venue,yield
,Allocated,Prime Services,LCH,,96.44,Pending,Citi,US,CP5000830,Institution,2025-07-21T17:24:03.2502619+01:00,USD,355055712,76.53,D1000010,-0.0924,Desk_3,3.67,AMEX,EXT3000010,15.76,0.0678,INS_BAC,Bank of America Corp.,Financial,true,US139492446,2025-07-21T19:05:03.2502619+01:00,,3363764.25,459.71,,PO2000010,Portfolio_15,362.67,,Option,9275,3363876.45,2025-07-23T18:01:03.2502619+01:00,Settled,Buy,Cancelled,Flow Trading,BAC,2025-07-21T18:01:03.2502619+01:00,Charlie Brown,T6045,2025-07-23T18:01:03.2502619+01:00,14.14,IEX,0.701
,Unallocated,Fixed Income,DTCC,,38.62,Confirmed,Citi,CA,CP5000910,Broker,2024-11-05T17:44:03.2502619+00:00,EUR,598303676,98.54,D1000011,-0.6942,Desk_1,4.75,NYSE,EXT3000011,37.22,0.0629,INS_BAC,Bank of America Corp.,Financial,false,US468546684,2024-11-05T18:35:03.2502619+00:00,2025-07-05T18:01:03.2502619+01:00,574630.5,477.08,,PO2000011,Portfolio_13,380.55,,ETF,1510,574706.34,2024-11-07T18:01:03.2502619+00:00,Unsettled,Sell,Confirmed,Flow Trading,BAC,2024-11-05T18:01:03.2502619+00:00,John Smith,T6047,2024-11-07T18:01:03.2502619+00:00,13.13,NASDAQ,2.624
,Allocated,Fixed Income,DTCC,,86.64,Pending,Bank of America,US,CP5000902,Institution,2024-01-16T17:34:03.2502619+00:00,EUR,138232534,42.87,D1000012,-0.8396,Desk_1,8.85,NYSE,EXT3000012,43.06,0.0509,INS_GOOGL,Alphabet Inc.,Equity,true,US875183276,2024-01-16T18:06:03.2502619+00:00,2024-02-16T18:01:03.2502619+00:00,1602564.72,627.1,,PO2000012,Portfolio_3,278.61,,Option,5752,1602694.42,2024-01-17T18:01:03.2502619+00:00,Unsettled,Buy,Executed,Arbitrage,GOOGL,2024-01-16T18:01:03.2502619+00:00,John Smith,T6098,2024-01-18T18:01:03.2502619+00:00,36.17,NYSE,2.837
884.32,Unallocated,Equity Trading,LCH,,60.37,Confirmed,JP Morgan,DE,CP5000883,Broker,2025-05-26T17:24:03.2502619+01:00,GBP,142569011,69.8,D1000013,0.4198,Desk_5,2.25,NYSE,EXT3000013,4.78,0.0015,INS_WMT,Walmart Inc.,Equity,true,US258983920,2025-05-26T19:11:03.2502619+01:00,,914141.06,177.61,,PO2000013,Portfolio_3,376.81,,Cash Equity,2426,914206.21,2025-05-28T18:01:03.2502619+01:00,Unsettled,Sell,Confirmed,Flow Trading,WMT,2025-05-26T18:01:03.2502619+01:00,Charlie Brown,T6049,2025-05-28T18:01:03.2502619+01:00,18.26,NYSE,3.453
,Unallocated,FX Trading,DTCC,Special handling required,82.4,Confirmed,JP Morgan,CA,CP5000815,Broker,2025-07-12T17:57:03.2502619+01:00,JPY,444712536,45.78,D1000014,0.4025,Desk_2,5.13,NASDAQ,EXT3000014,37.75,0.0654,INS_JNJ,Johnson & Johnson,Equity,true,US254457685,2025-07-12T18:11:03.2502619+01:00,2027-03-12T18:01:03.2502619+00:00,950643.0,473.33,,PO2000014,Portfolio_14,137.0,,Cash Equity,6939,950763.15,2025-07-14T18:01:03.2502619+01:00,Unsettled,Sell,Pending,Directional,JNJ,2025-07-12T18:01:03.2502619+01:00,Alice Williams,T6020,2025-07-14T18:01:03.2502619+01:00,0.41,NYSE,4.733
,Allocated,Derivatives,DTCC,,8.79,Pending,Goldman Sachs,AU,CP5000904,Institution,2024-08-30T17:35:03.2502619+01:00,JPY,956286205,66.89,D1000015,0.9127,Desk_5,8.21,AMEX,EXT3000015,21.42,0.0779,INS_AMZN,Amazon.com Inc.,Equity,true,US631818569,2024-08-30T18:05:03.2502619+01:00,2026-05-30T18:01:03.2502619+01:00,846867.3,918.18,,PO2000015,Portfolio_16,222.1,,Option,3813,846897.51,2024-08-31T18:01:03.2502619+01:00,Settled,Sell,Settled,Arbitrage,AMZN,2024-08-30T18:01:03.2502619+01:00,David Lee,T6098,2024-09-01T18:01:03.2502619+01:00,2.64,NYSE,0.595
,Unallocated,FX Trading,LCH,,80.89,Confirmed,Citi,CA,CP5000359,Broker,2023-11-14T18:00:03.2502619+00:00,JPY,750220586,52.42,D1000016,0.7587,Desk_6,1.05,AMEX,EXT3000016,46.3,0.096,INS_TSLA,Tesla Inc.,Equity,true,US762754093,2023-11-14T19:27:03.2502619+00:00,,1614538.16,872.84,,PO2000016,Portfolio_15,293.98,Goldman Sachs,Future,5492,1614665.35,2023-11-15T18:01:03.2502619+00:00,Unsettled,Sell,Cancelled,Market Making,TSLA,2023-11-14T18:01:03.2502619+00:00,John Smith,T6009,2023-11-16T18:01:03.2502619+00:00,28.42,ARCA,0.207
,Unallocated,Prime Services,LCH,,11.75,Pending,Citi,CH,CP5000849,Broker,2023-10-25T17:44:03.2502619+01:00,EUR,747005369,96.94,D1000017,0.0541,Desk_6,4.46,NASDAQ,EXT3000017,34.97,0.0497,INS_AMZN,Amazon.com Inc.,Equity,false,US239869072,2023-10-25T19:21:03.2502619+01:00,2024-03-25T18:01:03.2502619+00:00,1808460.42,184.86,P4000365,PO2000017,Portfolio_3,291.03,,ETF,6214,1808507.14,2023-10-26T18:01:03.2502619+01:00,Settled,Buy,Settled,Hedging,AMZN,2023-10-25T18:01:03.2502619+01:00,Charlie Brown,T6024,2023-10-27T18:01:03.2502619+01:00,33.52,IEX,4.989
,Unallocated,Fixed Income,DTCC,,35.28,Confirmed,JP Morgan,FR,CP5000840,Institution,2023-11-26T17:38:03.2502619+00:00,USD,424826986,82.76,D1000018,-0.1284,Desk_4,5.29,NYSE,EXT3000018,4.21,0.0758,INS_AAPL,Apple Inc.,Equity,true,US858493748,2023-11-26T18:38:03.2502619+00:00,2024-11-26T18:01:03.2502619+00:00,55112.75,459.66,,PO2000018,Portfolio_9,102.25,Goldman Sachs,Future,539,55152.24,2023-11-27T18:01:03.2502619+00:00,Unsettled,Sell,Executed,Arbitrage,AAPL,2023-11-26T18:01:03.2502619+00:00,Charlie Brown,T6009,2023-11-28T18:01:03.2502619+00:00,26.39,ARCA,4.566
,Allocated,FX Trading,DTCC,,79.25,Confirmed,Barclays,AU,CP5000148,Institution,2025-02-15T17:34:03.2502619+00:00,GBP,713476616,40.64,D1000019,-0.8604,Desk_8,5.87,NYSE,EXT3000019,24.92,0.0846,INS_JNJ,Johnson & Johnson,Equity,false,US866491557,2025-02-15T18:51:03.2502619+00:00,,589496.29,35.85,,PO2000019,Portfolio_16,68.57,,Future,8597,589600.46,2025-02-17T18:01:03.2502619+00:00,Unsettled,Sell,Executed,Directional,JNJ,2025-02-15T18:01:03.2502619+00:00,Jane Doe,T6060,2025-02-17T18:01:03.2502619+00:00,42.63,NYSE,1.119
273.83,Allocated,Fixed Income,DTCC,,9.89,Confirmed,Bank of America,CH,CP5000072,Broker,2024-12-07T17:56:03.2502619+00:00,EUR,311208944,2.45,D1000020,-0.2072,Desk_2,0.27,NASDAQ,EXT3000020,27.81,0.0361,INS_BAC,Bank of America Corp.,Financial,false,US912809126,2024-12-07T19:02:03.2502619+00:00,,1015180.96,831.36,,PO2000020,Portfolio_18,127.76,JP Morgan,Future,7946,1015218.66,2024-12-08T18:01:03.2502619+00:00,Unsettled,Buy,Executed,Flow Trading,BAC,2024-12-07T18:01:03.2502619+00:00,Alice Williams,T6078,2024-12-09T18:01:03.2502619+00:00,44.23,IEX,4.464
920.51,Unallocated,Derivatives,DTCC,,56.7,Confirmed,UBS,CA,CP5000343,Broker,2023-11-05T17:41:03.2502619+00:00,JPY,825405084,81.32,D1000021,0.7598,Desk_2,2.01,AMEX,EXT3000021,7.72,0.062,INS_JNJ,Johnson & Johnson,Equity,false,US487442735,2023-11-05T18:57:03.2502619+00:00,,633304.42,953.42,,PO2000021,Portfolio_15,134.26,,Option,4717,633368.84,2023-11-06T18:01:03.2502619+00:00,Unsettled,Buy,Executed,Arbitrage,JNJ,2023-11-05T18:01:03.2502619+00:00,David Lee,T6073,2023-11-07T18:01:03.2502619+00:00,0.59,IEX,4.206
,Allocated,Equity Trading,DTCC,Special handling required,21.92,Pending,Morgan Stanley,CH,CP5000651,Institution,2024-10-04T17:04:03.2502619+01:00,GBP,448669586,66.93,D1000022,-0.5572,Desk_1,1.21,NYSE,EXT3000022,15.92,0.0799,INS_WMT,Walmart Inc.,Equity,true,US454799640,2024-10-04T18:36:03.2502619+01:00,2025-10-04T18:01:03.2502619+01:00,3924781.93,182.06,P4000780,PO2000022,Portfolio_13,405.83,,Option,9671,3924819.77,2024-10-06T18:01:03.2502619+01:00,Unsettled,Buy,Cancelled,Market Making,WMT,2024-10-04T18:01:03.2502619+01:00,Bob Johnson,T6094,2024-10-06T18:01:03.2502619+01:00,19.31,Direct,3.373
,Unallocated,Derivatives,LCH,,9.93,Confirmed,Bank of America,DE,CP5000925,Broker,2025-05-05T17:22:03.2502619+01:00,JPY,916804715,84.28,D1000023,0.4437,Desk_2,2.05,NYSE,EXT3000023,26.27,0.0518,INS_BAC,Bank of America Corp.,Financial,false,US166292167,2025-05-05T19:49:03.2502619+01:00,,2721352.4,799.37,,PO2000023,Portfolio_4,312.44,,Future,8710,2721388.6,2025-05-06T18:01:03.2502619+01:00,Unsettled,Sell,Confirmed,Flow Trading,BAC,2025-05-05T18:01:03.2502619+01:00,Jane Doe,T6064,2025-05-07T18:01:03.2502619+01:00,39.73,NASDAQ,1.117
,Unallocated,Fixed Income,LCH,,41.7,Pending,UBS,US,CP5000669,Institution,2024-08-17T17:06:03.2502619+01:00,CHF,477112258,4.97,D1000024,-0.1367,Desk_5,8.33,NYSE,EXT3000024,48.85,0.0544,INS_AMZN,Amazon.com Inc.,Equity,true,US786961416,2024-08-17T19:02:03.2502619+01:00,2026-04-17T18:01:03.2502619+01:00,336225.6,927.13,,PO2000024,Portfolio_6,244.35,Goldman Sachs,Future,1376,336316.15,2024-08-19T18:01:03.2502619+01:00,Settled,Sell,Cancelled,Arbitrage,AMZN,2024-08-17T18:01:03.2502619+01:00,Jane Doe,T6014,2024-08-19T18:01:03.2502619+01:00,15.83,Direct,3.806
,Unallocated,Equity Trading,LCH,,84.85,Pending,Bank of America,CH,CP5000491,Broker,2024-11-13T17:48:03.2502619+00:00,JPY,214049605,75.13,D1000025,-0.5113,Desk_2,1.84,NYSE,EXT3000025,43.13,0.0876,INS_GOOGL,Alphabet Inc.,Equity,true,US431726170,2024-11-13T18:42:03.2502619+00:00,2026-10-13T18:01:03.2502619+01:00,518133.12,138.42,P4000450,PO2000025,Portfolio_9,76.92,Morgan Stanley,Cash Equity,6736,518261.1,2024-11-14T18:01:03.2502619+00:00,Settled,Buy,Cancelled,Market Making,GOOGL,2024-11-13T18:01:03.2502619+00:00,John Smith,T6010,2024-11-15T18:01:03.2502619+00:00,39.39,NASDAQ,4.852
,Unallocated,Fixed Income,LCH,,35.45,Pending,Deutsche Bank,AU,CP5000367,Broker,2024-05-13T17:25:03.2502619+01:00,EUR,635647411,15.25,D1000026,-0.1263,Desk_2,7.31,NYSE,EXT3000026,24.59,0.096,INS_BAC,Bank of America Corp.,Financial,true,US440909521,2024-05-13T18:45:03.2502619+01:00,,74258.22,837.46,,PO2000026,Portfolio_2,10.02,Goldman Sachs,Bond,7411,74318.26,2024-05-14T18:01:03.2502619+01:00,Unsettled,Sell,Cancelled,Hedging,BAC,2024-05-13T18:01:03.2502619+01:00,Alice Williams,T6042,2024-05-15T18:01:03.2502619+01:00,46.32,IEX,1.03
,Unallocated,Derivatives,DTCC,,57.69,Confirmed,Deutsche Bank,JP,CP5000757,Institution,2025-07-14T17:18:03.2502619+01:00,EUR,185123760,37.89,D1000027,-0.5336,Desk_6,3.46,AMEX,EXT3000027,21.71,0.0144,INS_TSLA,Tesla Inc.,Equity,true,US736095545,2025-07-14T19:57:03.2502619+01:00,2027-01-14T18:01:03.2502619+00:00,219233.97,10.64,P4000052,PO2000027,Portfolio_16,65.19,,ETF,3363,219313.37,2025-07-15T18:01:03.2502619+01:00,Unsettled,Sell,Confirmed,Hedging,TSLA,2025-07-14T18:01:03.2502619+01:00,John Smith,T6042,2025-07-16T18:01:03.2502619+01:00,19.32,ARCA,0.391
,Unallocated,Equity Trading,DTCC,,25.16,Confirmed,Citi,UK,CP5000261,Institution,2025-05-23T17:04:03.2502619+01:00,USD,229378997,5.18,D1000028,-0.5833,Desk_1,8.4,AMEX,EXT3000028,25.93,0.0125,INS_JPM,JPMorgan Chase & Co.,Financial,false,US755233625,2025-05-23T19:04:03.2502619+01:00,,359208.28,583.21,,PO2000028,Portfolio_19,36.28,Goldman Sachs,Bond,9901,359259.37,2025-05-24T18:01:03.2502619+01:00,Settled,Buy,Executed,Market Making,JPM,2025-05-23T18:01:03.2502619+01:00,John Smith,T6033,2025-05-25T18:01:03.2502619+01:00,15.53,IEX,0.336
,Unallocated,Prime Services,LCH,,0.86,Confirmed,UBS,AU,CP5000158,Broker,2024-02-26T17:52:03.2502619+00:00,CHF,239047558,0.71,D1000029,0.5593,Desk_3,3.26,AMEX,EXT3000029,0.31,0.0794,INS_WMT,Walmart Inc.,Equity,false,US596862682,2024-02-26T18:10:03.2502619+00:00,2025-01-26T18:01:03.2502619+00:00,154861.47,685.45,,PO2000029,Portfolio_13,26.19,,Cash Equity,5913,154862.64,2024-02-28T18:01:03.2502619+00:00,Settled,Sell,Cancelled,Market Making,WMT,2024-02-26T18:01:03.2502619+00:00,Charlie Brown,T6094,2024-02-28T18:01:03.2502619+00:00,40.38,Direct,4.995
,Unallocated,Prime Services,LCH,,1.6,Confirmed,Bank of America,AU,CP5000276,Broker,2024-07-21T17:18:03.2502619+01:00,GBP,402343053,64.67,D1000030,-0.2653,Desk_7,6.42,NASDAQ,EXT3000030,34.41,0.0785,INS_AAPL,Apple Inc.,Equity,true,US575993493,2024-07-21T19:00:03.2502619+01:00,,1262213.22,973.41,,PO2000030,Portfolio_5,364.17,,ETF,3466,1262249.23,2024-07-23T18:01:03.2502619+01:00,Settled,Sell,Confirmed,Arbitrage,AAPL,2024-07-21T18:01:03.2502619+01:00,Bob Johnson,T6079,2024-07-23T18:01:03.2502619+01:00,32.11,Direct,0.785
,Unallocated,Equity Trading,LCH,Special handling required,15.1,Confirmed,Deutsche Bank,JP,CP5000917,Broker,2024-07-12T17:23:03.2502619+01:00,GBP,718264222,31.76,D1000031,-0.2724,Desk_6,2.4,NYSE,EXT3000031,14.22,0.0067,INS_TSLA,Tesla Inc.,Equity,true,US655685054,2024-07-12T19:14:03.2502619+01:00,,2374963.94,276.25,P4000259,PO2000031,Portfolio_8,351.43,Goldman Sachs,Bond,6758,2374993.26,2024-07-14T18:01:03.2502619+01:00,Unsettled,Sell,Executed,Market Making,TSLA,2024-07-12T18:01:03.2502619+01:00,David Lee,T6097,2024-07-14T18:01:03.2502619+01:00,36.68,BATS,1.41
,Allocated,FX Trading,LCH,,28.1,Pending,Morgan Stanley,AU,CP5000535,Broker,2024-03-14T17:38:03.2502619+00:00,USD,545322401,0.22,D1000032,0.9455,Desk_4,6.11,NASDAQ,EXT3000032,28.03,0.0076,INS_AMZN,Amazon.com Inc.,Equity,true,US290262195,2024-03-14T18:11:03.2502619+00:00,2024-10-14T18:01:03.2502619+01:00,584679.4,222.78,,PO2000032,Portfolio_1,95.38,Goldman Sachs,Cash Equity,6130,584735.53,2024-03-15T18:01:03.2502619+00:00,Unsettled,Buy,Executed,Hedging,AMZN,2024-03-14T18:01:03.2502619+00:00,Jane Doe,T6078,2024-03-16T18:01:03.2502619+00:00,13.47,Direct,3.748
,Unallocated,Equity Trading,DTCC,,62.23,Confirmed,Goldman Sachs,JP,CP5000284,Broker,2024-04-13T17:20:03.2502619+01:00,CHF,565091811,17.87,D1000033,-0.7095,Desk_1,7.56,AMEX,EXT3000033,3.93,0.0119,INS_TSLA,Tesla Inc.,Equity,true,US694780290,2024-04-13T18:58:03.2502619+01:00,2024-09-13T18:01:03.2502619+01:00,849389.89,930.99,,PO2000033,Portfolio_19,146.27,,Cash Equity,5807,849456.05,2024-04-14T18:01:03.2502619+01:00,Settled,Buy,Settled,Directional,TSLA,2024-04-13T18:01:03.2502619+01:00,Alice Williams,T6013,2024-04-15T18:01:03.2502619+01:00,0.1,NASDAQ,4.617
,Unallocated,Fixed Income,LCH,,57.96,Pending,Morgan Stanley,FR,CP5000488,Institution,2023-12-10T17:27:03.2502619+00:00,GBP,132843344,72.16,D1000034,-0.482,Desk_3,2.39,NYSE,EXT3000034,33.48,0.0319,INS_WMT,Walmart Inc.,Equity,false,US605279359,2023-12-10T19:57:03.2502619+00:00,2024-06-10T18:01:03.2502619+01:00,661287.12,141.41,,PO2000034,Portfolio_12,152.23,,Bond,4344,661378.56,2023-12-12T18:01:03.2502619+00:00,Unsettled,Buy,Executed,Arbitrage,WMT,2023-12-10T18:01:03.2502619+00:00,Charlie Brown,T6043,2023-12-12T18:01:03.2502619+00:00,16.75,BATS,4.662
,Allocated,Equity Trading,LCH,,87.02,Confirmed,Goldman Sachs,FR,CP5000453,Institution,2024-03-31T17:58:03.2502619+01:00,JPY,250126958,58.94,D1000035,0.695,Desk_4,9.95,AMEX,EXT3000035,29.99,0.014,INS_JPM,JPMorgan Chase & Co.,Financial,true,US802728317,2024-03-31T18:02:03.2502619+01:00,,1946976.04,225.85,,PO2000035,Portfolio_1,261.62,Goldman Sachs,Cash Equity,7442,1947093.05,2024-04-01T18:01:03.2502619+01:00,Unsettled,Sell,Cancelled,Arbitrage,JPM,2024-03-31T18:01:03.2502619+01:00,David Lee,T6048,2024-04-02T18:01:03.2502619+01:00,41.29,Direct,3.321
,Unallocated,Derivatives,DTCC,,35.79,Confirmed,Deutsche Bank,AU,CP5000940,Broker,2024-10-24T17:58:03.2502619+01:00,USD,241858460,54.82,D1000036,0.3024,Desk_8,9.04,NASDAQ,EXT3000036,12.3,0.0821,INS_AAPL,Apple Inc.,Equity,true,US377608135,2024-10-24T18:24:03.2502619+01:00,2025-10-24T18:01:03.2502619+01:00,41984.8,77.52,P4000665,PO2000036,Portfolio_17,36.7,,Cash Equity,1144,42032.89,2024-10-26T18:01:03.2502619+01:00,Settled,Buy,Pending,Arbitrage,AAPL,2024-10-24T18:01:03.2502619+01:00,Bob Johnson,T6004,2024-10-26T18:01:03.2502619+01:00,39.85,ARCA,3.057
,Unallocated,FX Trading,DTCC,,78.34,Confirmed,UBS,CA,CP5000494,Broker,2024-12-13T17:02:03.2502619+00:00,CHF,729343486,53.61,D1000037,0.054,Desk_4,6.22,NYSE,EXT3000037,21.09,0.0767,INS_JPM,JPMorgan Chase & Co.,Financial,true,US323695046,2024-12-13T18:19:03.2502619+00:00,,33838.75,92.37,,PO2000037,Portfolio_5,123.05,,ETF,275,33938.18,2024-12-15T18:01:03.2502619+00:00,Settled,Sell,Executed,Directional,JPM,2024-12-13T18:01:03.2502619+00:00,John Smith,T6098,2024-12-15T18:01:03.2502619+00:00,37.43,IEX,1.409
,Unallocated,FX Trading,LCH,,12.76,Confirmed,JP Morgan,FR,CP5000530,Broker,2025-02-24T17:42:03.2502619+00:00,USD,781782628,68.29,D1000038,0.0049,Desk_8,7.22,NYSE,EXT3000038,19.9,0.0545,INS_GS,Goldman Sachs Group Inc.,Financial,true,US778686552,2025-02-24T19:04:03.2502619+00:00,,307929.3,153.83,P4000682,PO2000038,Portfolio_1,132.9,Goldman Sachs,Bond,2317,307961.96,2025-02-25T18:01:03.2502619+00:00,Unsettled,Buy,Cancelled,Hedging,GS,2025-02-24T18:01:03.2502619+00:00,Alice Williams,T6049,2025-02-26T18:01:03.2502619+00:00,39.09,ARCA,1.454
